soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease,soil_type_encoded,Disease_encoded
Argilo-sableux,6.3,28.3,33.3,0.69,120.4,121.8,14.3,16.9,Moyenne,Charcoal Rot,0,1
Limoneux,7.2,31.1,47.5,1.08,90.6,161.7,17.5,25.7,Moyenne,Anthracnose,4,0
Limoneux,7.5,28.5,53.5,1.13,97.9,156.6,12.3,29.7,Moyenne,Charcoal Rot,4,1
Graveleux,5.2,39.1,17.1,0.13,114.5,147.1,21.8,12.3,Faible,Sclérotiniose,2,4
Limoneux,6.8,29.0,40.5,0.88,86.9,128.3,17.2,16.3,Moyenne,Charcoal Rot,4,1
Hydromorphes,6.1,29.4,58.7,1.37,80.6,133.8,21.9,29.7,Moyenne,Fusariose,3,2
Hydromorphes,6.7,29.8,67.5,1.05,64.8,196.7,34.5,27.7,Élevée,Anthracnose,3,0
Ferrugineux tropicaux,5.1,30.7,26.9,0.49,138.6,159.5,14.5,21.2,Faible,Anthracnose,1,0
Graveleux,5.7,38.5,23.3,0.13,126.7,129.6,10.2,10.0,Faible,Charcoal Rot,2,1
Sableux,5.7,34.1,29.1,0.33,139.9,142.3,30.5,10.3,Faible,Sclérotiniose,5,4
Sableux,6.0,32.7,34.6,0.27,72.2,129.0,15.2,17.8,Faible,Sclérotiniose,5,4
Limoneux,7.4,30.9,53.2,0.93,146.1,93.2,17.8,6.6,Moyenne,Nématodose,4,3
Sableux,6.2,33.1,33.7,0.36,116.9,134.1,14.1,9.4,Faible,Nématodose,5,3
Limoneux,7.5,27.0,40.8,0.81,119.6,173.3,13.6,19.2,Moyenne,Anthracnose,4,0
Hydromorphes,6.1,29.2,57.2,1.18,147.1,172.1,20.7,9.9,Moyenne,Sclérotiniose,3,4
Ferrugineux tropicaux,5.0,32.6,33.2,0.39,143.0,79.5,38.4,8.6,Faible,Anthracnose,1,0
Hydromorphes,6.3,26.1,54.1,1.26,136.3,128.8,13.8,15.9,Moyenne,Fusariose,3,2
Graveleux,5.7,38.9,27.7,0.11,68.7,196.1,21.2,8.6,Faible,Nématodose,2,3
Hydromorphes,6.4,26.4,52.1,1.48,115.1,132.5,23.8,20.3,Moyenne,Anthracnose,3,0
Ferrugineux tropicaux,5.7,31.8,38.4,0.39,147.6,119.0,31.7,29.4,Faible,Charcoal Rot,1,1
Limoneux,6.8,26.5,52.8,0.92,103.3,176.8,38.4,11.6,Moyenne,Sclérotiniose,4,4
Argilo-sableux,6.8,30.7,41.8,0.58,102.4,80.7,33.5,7.5,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.5,32.0,28.1,0.37,62.4,70.6,36.3,15.9,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.2,30.4,33.5,0.38,141.6,111.8,16.8,14.4,Faible,Sclérotiniose,1,4
Argilo-sableux,6.5,30.6,37.7,0.59,101.8,75.8,35.9,19.7,Moyenne,Anthracnose,0,0
Hydromorphes,6.6,28.1,68.2,1.48,78.0,100.2,18.2,8.4,Moyenne,Nématodose,3,3
Ferrugineux tropicaux,5.8,31.1,25.8,0.41,107.4,147.8,16.1,29.3,Faible,Anthracnose,1,0
Ferrugineux tropicaux,5.0,31.0,38.5,0.35,82.2,145.5,30.7,25.1,Faible,Sclérotiniose,1,4
Limoneux,6.8,30.7,49.5,1.13,145.2,79.8,12.1,26.0,Moyenne,Charcoal Rot,4,1
Graveleux,5.7,34.1,26.9,0.1,103.8,172.9,39.1,19.0,Faible,Nématodose,2,3
Hydromorphes,6.2,28.3,68.2,1.06,147.4,89.8,28.8,21.6,Moyenne,Anthracnose,3,0
Argilo-sableux,6.2,33.5,34.5,0.58,116.8,148.7,29.6,27.1,Moyenne,Sclérotiniose,0,4
Ferrugineux tropicaux,5.4,33.4,39.5,0.37,107.4,99.4,27.2,10.7,Faible,Sclérotiniose,1,4
Ferrugineux tropicaux,5.6,31.0,29.5,0.46,95.6,70.9,20.4,22.4,Faible,Fusariose,1,2
Hydromorphes,6.6,25.6,66.3,1.16,76.5,120.8,14.5,15.4,Moyenne,Charcoal Rot,3,1
Sableux,6.3,33.4,20.2,0.23,130.8,74.9,20.0,9.3,Faible,Fusariose,5,2
Limoneux,6.9,31.0,50.8,1.09,114.5,112.4,10.1,6.5,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.4,34.3,37.4,0.36,128.7,98.3,22.5,23.2,Faible,Sclérotiniose,1,4
Limoneux,7.4,30.4,50.5,1.01,68.0,190.1,33.9,6.9,Élevée,Anthracnose,4,0
Argilo-sableux,6.6,28.2,40.6,0.51,70.9,140.4,26.0,6.5,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.1,35.1,29.9,0.41,81.8,171.7,32.9,8.9,Faible,Sclérotiniose,1,4
Graveleux,5.5,39.5,24.1,0.15,144.3,130.3,30.9,20.8,Faible,Sclérotiniose,2,4
Argilo-sableux,6.6,30.7,43.7,0.61,150.0,162.1,17.4,25.6,Moyenne,Fusariose,0,2
Limoneux,7.4,31.7,42.8,0.9,149.0,116.6,12.7,9.6,Moyenne,Charcoal Rot,4,1
Limoneux,6.9,31.1,54.4,0.87,60.8,166.8,14.7,25.2,Moyenne,Fusariose,4,2
Hydromorphes,6.0,28.1,62.4,1.27,91.8,102.4,32.9,15.9,Élevée,Anthracnose,3,0
Ferrugineux tropicaux,5.8,31.2,31.3,0.35,78.8,125.1,14.2,6.2,Faible,Fusariose,1,2
Sableux,6.1,33.4,27.3,0.21,107.2,145.3,38.9,24.9,Faible,Nématodose,5,3
Sableux,6.1,32.4,23.5,0.24,88.3,140.7,11.5,16.1,Faible,Anthracnose,5,0
Hydromorphes,6.4,29.7,56.9,1.32,127.0,126.8,22.8,22.6,Moyenne,Nématodose,3,3
Ferrugineux tropicaux,5.1,34.5,36.8,0.47,126.2,89.7,33.6,28.4,Faible,Nématodose,1,3
Argilo-sableux,6.8,28.2,42.1,0.61,98.0,198.3,17.7,29.6,Moyenne,Anthracnose,0,0
Limoneux,6.7,28.0,40.7,0.99,143.7,108.9,24.7,26.0,Moyenne,Anthracnose,4,0
Limoneux,7.5,28.6,43.7,1.1,100.0,195.8,15.4,13.5,Moyenne,Sclérotiniose,4,4
Hydromorphes,6.5,29.6,66.1,1.26,88.7,124.0,39.3,21.1,Élevée,Charcoal Rot,3,1
Ferrugineux tropicaux,5.7,30.2,33.8,0.42,112.1,95.1,33.1,22.4,Faible,Nématodose,1,3
Hydromorphes,6.2,27.0,62.4,1.48,125.0,77.0,26.8,23.2,Moyenne,Charcoal Rot,3,1
Argilo-sableux,7.0,28.3,39.3,0.58,63.9,107.2,16.9,15.4,Moyenne,Charcoal Rot,0,1
Hydromorphes,6.8,26.2,63.6,1.08,120.4,80.0,30.4,6.3,Élevée,Anthracnose,3,0
Sableux,6.5,37.8,20.2,0.29,94.4,98.3,30.4,7.3,Faible,Anthracnose,5,0
Graveleux,5.4,35.8,26.1,0.2,128.9,170.7,37.5,12.9,Faible,Nématodose,2,3
Hydromorphes,6.4,26.0,52.4,1.41,134.0,80.4,10.8,15.1,Moyenne,Fusariose,3,2
Limoneux,7.0,30.4,49.2,0.88,99.6,119.8,39.0,10.9,Moyenne,Nématodose,4,3
Graveleux,5.9,39.5,19.4,0.18,88.8,172.1,12.8,5.3,Faible,Nématodose,2,3
Graveleux,5.8,36.8,22.5,0.24,132.4,132.3,24.2,29.8,Faible,Nématodose,2,3
Limoneux,7.3,29.8,53.4,0.93,122.2,82.7,20.4,16.9,Moyenne,Charcoal Rot,4,1
Ferrugineux tropicaux,5.4,31.5,31.5,0.37,115.7,173.6,16.6,17.6,Faible,Sclérotiniose,1,4
Sableux,5.6,33.2,32.0,0.21,118.9,105.0,15.1,15.4,Faible,Fusariose,5,2
Limoneux,6.8,28.0,45.3,0.83,70.0,124.7,14.9,28.5,Moyenne,Anthracnose,4,0
Limoneux,6.8,26.4,48.0,1.02,74.7,104.2,20.8,22.1,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.7,35.1,24.4,0.3,129.0,177.3,31.6,27.6,Faible,Charcoal Rot,1,1
Sableux,5.6,33.2,33.2,0.39,133.7,110.1,27.4,21.0,Faible,Charcoal Rot,5,1
Argilo-sableux,6.5,30.4,39.2,0.52,91.3,136.5,10.6,14.1,Moyenne,Anthracnose,0,0
Ferrugineux tropicaux,5.9,31.7,25.0,0.34,86.8,198.1,32.9,26.7,Faible,Sclérotiniose,1,4
Hydromorphes,6.7,28.4,55.1,1.29,64.1,111.3,24.8,29.6,Moyenne,Sclérotiniose,3,4
Limoneux,7.4,26.1,47.0,1.19,147.3,146.0,23.9,28.2,Moyenne,Charcoal Rot,4,1
Graveleux,5.8,39.4,20.8,0.24,106.3,128.4,12.3,7.4,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.9,30.3,27.8,0.49,83.6,177.9,35.1,12.6,Faible,Sclérotiniose,1,4
Graveleux,5.8,35.7,25.0,0.28,114.0,156.2,16.5,20.4,Faible,Fusariose,2,2
Ferrugineux tropicaux,5.2,31.8,25.3,0.45,79.3,186.9,35.7,10.7,Faible,Sclérotiniose,1,4
Graveleux,5.0,37.3,26.1,0.12,123.1,119.6,33.2,16.8,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.9,31.4,30.6,0.44,125.1,110.4,25.4,9.7,Faible,Anthracnose,1,0
Limoneux,7.4,30.9,40.6,0.86,98.9,111.9,18.2,7.8,Moyenne,Sclérotiniose,4,4
Sableux,5.5,36.1,34.4,0.32,142.7,72.9,13.0,26.0,Faible,Sclérotiniose,5,4
Limoneux,6.5,28.8,46.3,1.16,100.0,169.7,38.5,23.3,Élevée,Nématodose,4,3
Ferrugineux tropicaux,5.2,35.9,21.8,0.43,92.3,131.1,38.0,7.4,Faible,Sclérotiniose,1,4
Sableux,6.1,33.4,22.0,0.38,92.4,158.7,38.4,8.3,Faible,Charcoal Rot,5,1
Graveleux,5.5,35.9,15.0,0.14,129.8,128.9,29.8,9.3,Faible,Anthracnose,2,0
Sableux,5.9,33.3,28.2,0.3,86.0,159.5,19.4,21.6,Faible,Fusariose,5,2
Graveleux,5.1,38.9,16.7,0.29,98.8,79.6,16.9,10.0,Faible,Charcoal Rot,2,1
Hydromorphes,6.1,26.0,60.6,1.37,115.5,120.1,21.3,29.8,Moyenne,Nématodose,3,3
Sableux,5.8,36.5,34.8,0.39,143.8,195.6,27.8,28.6,Faible,Fusariose,5,2
Sableux,5.9,37.6,26.0,0.25,122.1,164.0,20.7,23.1,Faible,Anthracnose,5,0
Argilo-sableux,7.0,28.6,41.2,0.55,105.8,70.1,19.8,25.9,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.6,30.3,37.5,0.34,116.8,131.5,11.5,15.3,Faible,Fusariose,1,2
Graveleux,5.2,37.8,26.3,0.29,103.1,190.1,13.3,19.0,Faible,Nématodose,2,3
Argilo-sableux,6.7,32.7,42.1,0.52,135.9,97.9,35.9,7.0,Moyenne,Charcoal Rot,0,1
Sableux,6.0,32.6,23.7,0.37,132.3,110.8,23.9,29.8,Faible,Nématodose,5,3
Ferrugineux tropicaux,5.5,34.1,30.4,0.5,134.1,193.7,26.6,17.8,Moyenne,Charcoal Rot,1,1
Graveleux,5.8,35.4,15.2,0.16,113.2,189.0,27.8,18.9,Faible,Nématodose,2,3
Hydromorphes,6.6,28.2,62.3,1.24,90.8,149.0,39.8,17.0,Élevée,Sclérotiniose,3,4
Graveleux,5.3,34.6,29.2,0.25,86.4,163.5,36.6,12.7,Faible,Anthracnose,2,0
Limoneux,7.5,26.7,46.9,1.02,135.4,110.1,29.8,14.9,Moyenne,Sclérotiniose,4,4
Graveleux,5.0,36.9,15.9,0.23,141.4,112.8,27.0,25.8,Faible,Nématodose,2,3
Limoneux,7.5,30.2,53.9,1.19,83.1,198.7,12.4,8.7,Moyenne,Anthracnose,4,0
Argilo-sableux,6.3,28.4,34.0,0.57,122.0,133.8,18.8,18.6,Moyenne,Sclérotiniose,0,4
Limoneux,7.0,31.0,40.3,0.95,75.9,99.1,19.3,22.4,Moyenne,Sclérotiniose,4,4
Graveleux,5.4,38.9,24.3,0.11,71.0,91.1,23.0,18.5,Faible,Anthracnose,2,0
Argilo-sableux,6.2,33.6,44.3,0.54,132.5,125.9,24.5,19.4,Moyenne,Fusariose,0,2
Argilo-sableux,6.0,33.2,37.2,0.65,82.4,110.9,13.1,9.8,Moyenne,Charcoal Rot,0,1
Ferrugineux tropicaux,5.7,31.0,28.2,0.39,126.3,181.1,36.5,29.1,Faible,Anthracnose,1,0
Graveleux,5.4,38.3,17.4,0.18,127.1,133.2,18.4,14.6,Faible,Fusariose,2,2
Sableux,6.1,34.9,34.1,0.39,146.8,189.2,30.8,19.5,Faible,Sclérotiniose,5,4
Graveleux,5.5,38.6,15.3,0.1,78.4,189.4,39.0,26.6,Faible,Anthracnose,2,0
Sableux,6.0,32.0,24.0,0.33,130.7,129.0,38.8,19.6,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.9,31.9,26.1,0.48,92.8,123.7,30.0,14.5,Faible,Nématodose,1,3
Graveleux,5.4,36.5,21.3,0.23,87.1,128.9,34.5,13.5,Faible,Anthracnose,2,0
Sableux,6.3,36.9,26.3,0.24,105.8,134.2,12.9,11.3,Faible,Fusariose,5,2
Ferrugineux tropicaux,5.1,30.5,24.8,0.44,64.2,145.8,34.4,24.8,Faible,Fusariose,1,2
Graveleux,5.6,36.7,18.4,0.15,130.6,92.0,37.0,29.0,Faible,Sclérotiniose,2,4
Limoneux,7.2,27.3,45.3,0.98,113.4,129.2,25.0,11.0,Moyenne,Nématodose,4,3
Hydromorphes,6.1,27.3,51.6,1.07,127.5,113.3,16.2,11.7,Moyenne,Fusariose,3,2
Graveleux,6.0,35.7,16.1,0.22,63.9,75.9,33.9,13.6,Faible,Charcoal Rot,2,1
Hydromorphes,6.0,29.2,61.1,1.37,129.0,136.1,28.7,13.0,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.5,29.7,44.2,0.67,144.8,183.1,33.6,25.5,Moyenne,Anthracnose,0,0
Argilo-sableux,6.7,29.0,31.4,0.65,130.3,115.7,20.6,28.0,Moyenne,Anthracnose,0,0
Graveleux,5.5,36.1,17.2,0.2,74.2,176.4,11.1,21.6,Faible,Anthracnose,2,0
Graveleux,5.5,36.2,20.6,0.26,111.0,188.2,24.9,26.4,Faible,Charcoal Rot,2,1
Hydromorphes,6.1,25.4,69.2,1.19,98.0,156.2,38.1,5.9,Élevée,Nématodose,3,3
Argilo-sableux,6.3,28.8,44.3,0.69,77.6,183.3,27.4,25.3,Moyenne,Fusariose,0,2
Hydromorphes,6.2,25.3,54.9,1.38,142.3,96.6,22.2,28.8,Moyenne,Sclérotiniose,3,4
Argilo-sableux,6.5,30.0,43.3,0.53,74.7,136.5,10.6,16.8,Moyenne,Sclérotiniose,0,4
Sableux,6.5,33.4,27.2,0.27,76.8,92.7,14.9,6.2,Faible,Nématodose,5,3
Sableux,5.9,36.8,30.2,0.36,135.5,199.0,33.2,27.3,Faible,Nématodose,5,3
Ferrugineux tropicaux,5.8,35.4,34.9,0.39,97.2,107.1,28.7,6.5,Faible,Nématodose,1,3
Graveleux,5.0,36.1,16.2,0.12,112.5,181.7,39.8,8.7,Faible,Anthracnose,2,0
Graveleux,5.8,39.7,17.5,0.24,113.4,133.3,16.5,24.8,Faible,Fusariose,2,2
Hydromorphes,6.5,29.2,54.9,1.29,103.0,75.8,23.3,7.2,Moyenne,Anthracnose,3,0
Graveleux,5.9,35.2,21.2,0.12,111.7,181.3,28.0,17.4,Faible,Sclérotiniose,2,4
Hydromorphes,6.8,25.8,52.0,1.05,137.5,79.7,14.9,18.1,Moyenne,Fusariose,3,2
Sableux,6.2,33.3,28.8,0.32,109.2,112.6,32.0,27.4,Faible,Anthracnose,5,0
Sableux,5.5,35.6,33.1,0.31,146.2,110.2,15.4,15.7,Faible,Fusariose,5,2
Graveleux,5.5,37.1,23.4,0.28,73.4,193.7,27.4,21.3,Faible,Fusariose,2,2
Graveleux,5.4,37.2,29.5,0.19,81.2,179.8,11.5,13.6,Faible,Sclérotiniose,2,4
Sableux,5.8,35.9,27.8,0.26,84.0,120.1,30.8,24.7,Faible,Fusariose,5,2
Sableux,5.8,33.2,28.7,0.29,120.0,130.9,29.1,19.2,Faible,Anthracnose,5,0
Ferrugineux tropicaux,5.6,32.6,30.3,0.48,140.8,176.7,12.7,26.9,Faible,Anthracnose,1,0
Hydromorphes,6.0,28.3,68.2,1.32,87.0,134.2,11.4,22.8,Moyenne,Charcoal Rot,3,1
Limoneux,7.0,26.7,50.4,1.07,83.7,83.7,15.5,11.1,Moyenne,Nématodose,4,3
Hydromorphes,6.5,27.8,64.7,1.06,82.0,76.9,19.3,21.2,Moyenne,Charcoal Rot,3,1
Limoneux,7.4,31.4,44.6,1.07,106.7,165.5,21.4,21.1,Moyenne,Anthracnose,4,0
Ferrugineux tropicaux,5.8,31.1,26.2,0.32,74.3,193.6,18.4,14.4,Faible,Nématodose,1,3
Argilo-sableux,6.9,30.1,43.5,0.54,124.8,98.0,22.0,10.1,Moyenne,Charcoal Rot,0,1
Sableux,5.7,34.1,27.7,0.38,111.9,177.8,20.4,9.6,Faible,Nématodose,5,3
Graveleux,5.2,39.7,27.6,0.13,61.2,93.8,36.5,20.9,Faible,Sclérotiniose,2,4
Sableux,5.7,36.5,28.9,0.3,76.2,167.3,19.3,12.0,Faible,Charcoal Rot,5,1
Argilo-sableux,6.8,32.3,30.9,0.68,67.6,106.9,27.1,15.5,Moyenne,Nématodose,0,3
Ferrugineux tropicaux,5.5,31.5,26.0,0.32,65.6,73.7,22.7,14.7,Faible,Charcoal Rot,1,1
Limoneux,7.3,27.3,45.3,1.2,100.7,122.6,13.5,25.5,Moyenne,Sclérotiniose,4,4
Graveleux,5.6,35.7,22.5,0.1,82.2,83.0,33.3,5.9,Faible,Sclérotiniose,2,4
Limoneux,6.5,26.7,50.7,1.0,92.1,182.6,37.1,26.9,Élevée,Anthracnose,4,0
Hydromorphes,6.1,25.8,58.6,1.26,111.8,109.5,10.0,10.2,Moyenne,Anthracnose,3,0
Limoneux,6.9,28.6,52.6,0.86,146.3,180.4,15.3,17.0,Moyenne,Fusariose,4,2
Hydromorphes,6.7,28.4,63.8,1.48,80.2,196.8,33.4,23.4,Élevée,Anthracnose,3,0
Limoneux,7.2,31.9,51.6,1.13,91.3,107.0,25.1,9.9,Moyenne,Fusariose,4,2
Hydromorphes,6.4,27.0,57.2,1.25,145.8,159.7,14.5,17.0,Moyenne,Nématodose,3,3
Graveleux,5.4,37.5,21.9,0.19,122.5,98.5,23.7,19.7,Faible,Fusariose,2,2
Limoneux,6.7,30.2,50.0,0.95,88.2,138.9,26.1,17.0,Moyenne,Charcoal Rot,4,1
Hydromorphes,6.2,26.0,53.4,1.32,97.9,70.6,30.6,24.7,Élevée,Fusariose,3,2
Ferrugineux tropicaux,5.9,30.3,27.2,0.49,117.4,89.2,16.1,12.6,Faible,Nématodose,1,3
Graveleux,5.2,39.4,20.2,0.28,107.7,79.5,25.4,6.2,Faible,Charcoal Rot,2,1
Graveleux,6.0,34.8,16.2,0.27,89.2,132.1,16.3,21.3,Faible,Sclérotiniose,2,4
Graveleux,5.0,37.4,24.0,0.14,104.9,132.7,39.4,10.3,Faible,Nématodose,2,3
Sableux,6.1,36.5,34.0,0.36,113.6,91.1,37.2,21.3,Faible,Charcoal Rot,5,1
Argilo-sableux,6.5,28.5,41.0,0.66,136.2,133.9,12.9,14.5,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.1,35.3,29.9,0.48,65.8,115.2,27.9,16.9,Faible,Charcoal Rot,1,1
Sableux,5.7,36.9,21.0,0.25,70.8,150.4,30.2,10.7,Faible,Anthracnose,5,0
Hydromorphes,6.0,28.8,50.6,1.45,111.2,126.7,23.5,14.7,Moyenne,Nématodose,3,3
Graveleux,5.4,38.2,21.5,0.25,90.4,78.5,38.3,16.5,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.5,33.4,25.9,0.36,144.5,164.5,36.2,27.5,Faible,Sclérotiniose,1,4
Graveleux,5.9,39.7,27.4,0.17,110.5,189.5,29.6,24.1,Faible,Anthracnose,2,0
Ferrugineux tropicaux,5.4,30.3,27.9,0.4,64.2,81.1,10.3,15.0,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.5,35.7,36.1,0.41,95.2,137.8,15.8,15.3,Faible,Nématodose,1,3
Ferrugineux tropicaux,5.3,33.9,33.7,0.38,65.2,110.6,32.6,8.4,Faible,Sclérotiniose,1,4
Argilo-sableux,6.0,32.5,42.7,0.63,64.2,89.1,31.0,18.2,Moyenne,Nématodose,0,3
Sableux,6.4,37.7,27.8,0.36,108.9,169.8,18.2,26.4,Faible,Nématodose,5,3
Hydromorphes,6.4,29.7,60.3,1.0,149.2,152.6,12.4,26.5,Moyenne,Nématodose,3,3
Argilo-sableux,6.5,28.8,31.2,0.53,127.1,89.2,35.6,15.6,Moyenne,Nématodose,0,3
Sableux,6.3,33.5,34.2,0.29,72.8,93.5,21.8,16.2,Faible,Fusariose,5,2
Graveleux,5.7,36.0,19.4,0.29,79.4,95.6,19.2,28.0,Faible,Anthracnose,2,0
Graveleux,5.2,38.6,22.8,0.21,105.2,141.0,11.0,6.5,Faible,Charcoal Rot,2,1
Argilo-sableux,6.6,30.6,43.5,0.51,89.8,99.3,13.2,29.2,Moyenne,Charcoal Rot,0,1
Argilo-sableux,6.5,30.5,34.6,0.56,121.9,103.0,13.8,28.5,Moyenne,Nématodose,0,3
Argilo-sableux,6.9,29.5,33.2,0.67,142.8,165.1,16.0,20.8,Moyenne,Anthracnose,0,0
Sableux,6.5,37.5,30.5,0.36,124.3,169.6,22.2,13.9,Faible,Sclérotiniose,5,4
Argilo-sableux,6.7,32.6,43.7,0.59,104.0,92.5,29.4,24.2,Moyenne,Fusariose,0,2
Hydromorphes,6.9,27.2,64.2,1.07,104.8,123.1,15.1,19.9,Moyenne,Charcoal Rot,3,1
Hydromorphes,6.5,26.6,50.0,1.4,93.8,136.5,15.3,15.5,Moyenne,Fusariose,3,2
Argilo-sableux,6.6,29.1,44.2,0.6,95.2,127.4,38.4,12.2,Moyenne,Sclérotiniose,0,4
Graveleux,6.0,38.7,20.3,0.17,63.1,70.2,21.3,11.7,Faible,Charcoal Rot,2,1
Ferrugineux tropicaux,5.3,32.2,28.9,0.36,72.2,87.3,10.6,12.8,Faible,Fusariose,1,2
Sableux,5.6,37.1,22.6,0.3,136.9,144.7,21.1,19.2,Faible,Nématodose,5,3
Graveleux,5.3,39.3,27.8,0.23,116.2,178.5,12.7,29.3,Faible,Nématodose,2,3
Graveleux,5.1,38.8,27.2,0.2,121.2,87.4,25.8,27.5,Faible,Anthracnose,2,0
Sableux,6.3,33.1,33.9,0.26,86.4,119.0,34.8,16.1,Faible,Nématodose,5,3
Limoneux,7.2,29.6,48.2,0.8,127.3,180.6,11.7,22.5,Moyenne,Sclérotiniose,4,4
Sableux,5.7,34.2,22.9,0.25,74.3,112.2,24.7,24.0,Faible,Anthracnose,5,0
Ferrugineux tropicaux,5.4,35.5,33.7,0.43,78.8,171.5,18.6,12.5,Faible,Charcoal Rot,1,1
Hydromorphes,6.5,25.4,67.5,1.22,105.4,96.0,33.0,20.2,Élevée,Sclérotiniose,3,4
Hydromorphes,6.0,25.5,57.8,1.41,80.4,141.3,15.8,7.1,Moyenne,Sclérotiniose,3,4
Sableux,6.0,36.1,27.0,0.26,141.8,134.4,31.3,6.1,Faible,Nématodose,5,3
Hydromorphes,6.8,29.6,60.1,1.24,113.2,102.7,39.6,29.3,Élevée,Nématodose,3,3
Ferrugineux tropicaux,6.0,35.5,38.2,0.44,130.2,121.4,39.8,11.3,Faible,Nématodose,1,3
Hydromorphes,6.7,28.1,60.2,1.17,141.5,111.4,23.9,23.8,Moyenne,Fusariose,3,2
Argilo-sableux,6.5,32.9,41.3,0.53,74.4,79.1,24.8,29.6,Moyenne,Charcoal Rot,0,1
Sableux,6.1,37.1,33.6,0.34,63.9,194.5,12.1,27.1,Faible,Sclérotiniose,5,4
Argilo-sableux,6.8,32.3,44.8,0.62,106.9,152.7,25.0,19.8,Moyenne,Nématodose,0,3
Sableux,5.9,36.9,30.9,0.33,130.7,163.1,27.2,9.9,Faible,Anthracnose,5,0
Graveleux,5.4,34.6,21.7,0.25,105.3,131.3,32.4,24.6,Faible,Sclérotiniose,2,4
Ferrugineux tropicaux,5.0,30.9,34.0,0.33,105.6,105.9,31.1,18.8,Faible,Sclérotiniose,1,4
Ferrugineux tropicaux,5.2,31.8,34.2,0.43,67.1,127.5,29.0,23.7,Faible,Anthracnose,1,0
Argilo-sableux,6.6,31.7,42.6,0.51,75.3,170.7,35.1,25.8,Moyenne,Fusariose,0,2
Ferrugineux tropicaux,5.9,30.6,25.8,0.32,92.9,190.0,24.0,28.4,Faible,Nématodose,1,3
Graveleux,5.1,39.4,18.5,0.1,97.8,135.3,39.6,9.7,Faible,Fusariose,2,2
Graveleux,5.4,39.8,16.5,0.2,70.2,95.5,34.4,9.1,Faible,Fusariose,2,2
Argilo-sableux,6.5,32.5,36.4,0.54,83.9,124.0,24.6,21.2,Moyenne,Charcoal Rot,0,1
Argilo-sableux,6.2,32.9,43.7,0.5,95.3,137.0,21.7,12.8,Moyenne,Fusariose,0,2
Graveleux,5.3,37.3,22.8,0.11,137.0,149.8,33.5,9.7,Faible,Nématodose,2,3
Ferrugineux tropicaux,5.9,31.1,37.9,0.45,105.2,102.2,30.5,14.4,Faible,Fusariose,1,2
Ferrugineux tropicaux,5.7,31.7,22.0,0.47,121.9,145.5,15.1,26.3,Faible,Charcoal Rot,1,1
Limoneux,6.9,26.9,43.8,1.17,84.6,188.3,33.4,15.3,Élevée,Charcoal Rot,4,1
Ferrugineux tropicaux,5.4,32.4,38.0,0.41,96.7,111.9,31.9,11.5,Faible,Anthracnose,1,0
Hydromorphes,6.5,29.6,58.5,1.02,71.8,87.1,11.3,29.8,Moyenne,Charcoal Rot,3,1
Argilo-sableux,6.6,32.3,44.2,0.61,72.7,125.2,23.8,10.3,Moyenne,Charcoal Rot,0,1
Graveleux,5.8,36.6,27.4,0.14,87.6,96.1,36.6,8.2,Faible,Charcoal Rot,2,1
Argilo-sableux,6.5,29.0,35.1,0.53,108.3,156.1,39.9,26.5,Moyenne,Sclérotiniose,0,4
Limoneux,6.7,26.6,42.7,1.04,73.9,80.5,24.2,24.8,Moyenne,Anthracnose,4,0
Hydromorphes,6.8,29.8,54.2,1.28,135.6,150.7,27.2,27.9,Moyenne,Anthracnose,3,0
Ferrugineux tropicaux,5.8,31.7,33.6,0.34,120.9,94.5,20.0,14.2,Faible,Sclérotiniose,1,4
Argilo-sableux,6.5,29.0,33.6,0.57,98.0,72.5,37.6,28.2,Moyenne,Anthracnose,0,0
Graveleux,5.1,35.5,15.9,0.27,67.7,183.0,12.3,27.4,Faible,Nématodose,2,3
Graveleux,5.2,39.4,19.4,0.26,127.1,173.0,31.9,19.8,Faible,Charcoal Rot,2,1
Graveleux,5.1,37.7,28.3,0.19,97.8,124.7,20.1,20.1,Faible,Charcoal Rot,2,1
Graveleux,5.3,38.6,18.1,0.17,135.6,116.0,31.1,11.4,Faible,Nématodose,2,3
Sableux,6.2,36.7,22.0,0.27,114.6,110.8,16.9,15.9,Faible,Anthracnose,5,0
Ferrugineux tropicaux,5.0,33.7,31.1,0.46,97.9,84.2,26.4,5.0,Faible,Sclérotiniose,1,4
Limoneux,6.8,27.9,49.8,0.99,137.4,72.5,35.5,20.2,Moyenne,Nématodose,4,3
Sableux,5.6,36.8,28.6,0.25,68.4,192.9,22.2,13.1,Faible,Sclérotiniose,5,4
