soil_type,pH,potassium,phosphore,azote,humidite,EC,temperature,rainfall,culture_recommandee
Sableux,6.42,222.9,24.1,0.224,7.0,0.21,37.4,345.1,Maïs
Salin,7.34,75.6,14.5,0.209,7.3,0.54,44.4,597.0,Patate douce
Rocheux,6.09,275.6,31.8,0.142,11.4,2.07,28.2,723.5,Manioc
Rocheux,6.0,228.3,24.6,0.045,19.1,1.23,39.3,423.3,Niébé
Limonneux,7.38,100.7,11.9,0.023,38.6,1.69,32.2,604.0,Manioc
Argileux,5.71,268.7,10.3,0.151,6.7,0.8,31.3,459.4,Maïs
Limonneux,6.53,261.3,15.5,0.276,36.1,2.33,44.5,121.9,Riz pluvial
Rocheux,6.15,249.5,37.6,0.248,29.9,1.79,35.2,628.6,Niébé
Rocheux,6.31,237.7,37.7,0.238,37.4,2.05,31.2,754.0,Gombo
Sableux,5.64,219.6,36.3,0.167,16.7,1.38,25.4,634.2,Manioc
Salin,6.56,152.5,26.2,0.14,27.5,1.58,38.9,501.1,Sésame
Argileux,6.91,235.4,30.1,0.228,20.0,2.06,30.9,221.2,Niébé
Sableux,6.97,172.5,14.9,0.199,6.8,1.4,38.9,794.0,Manioc
Argileux,6.59,248.4,43.4,0.11,17.6,1.15,39.3,620.1,Riz pluvial
Sableux,6.25,177.3,37.9,0.247,25.2,0.84,25.2,355.4,Arachide
Salin,6.23,228.9,30.3,0.109,6.2,2.43,33.4,361.5,Sésame
Sableux,6.17,169.5,11.3,0.068,18.9,2.28,25.3,365.6,Mil
Salin,7.37,107.3,10.0,0.3,35.4,0.21,43.0,372.4,Mil
Sableux,6.68,132.3,35.8,0.194,22.0,1.7,33.8,264.5,Niébé
Sableux,6.22,230.8,57.7,0.039,18.2,2.28,40.9,744.0,Sésame
Limonneux,7.49,180.2,44.5,0.284,26.2,2.32,34.0,538.0,Arachide
Limonneux,6.5,214.2,38.7,0.294,31.0,0.13,41.6,548.7,Gombo
Rocheux,5.96,216.4,50.3,0.123,18.2,2.41,35.0,599.7,Gombo
Salin,5.98,268.0,23.9,0.216,17.9,1.66,35.3,643.8,Riz pluvial
Limonneux,7.76,82.7,13.4,0.258,35.2,1.23,38.0,305.9,Sésame
Limonneux,6.86,152.9,16.7,0.236,14.2,2.18,43.5,637.8,Niébé
Limonneux,7.99,50.3,58.1,0.225,21.3,2.45,31.9,415.6,Maïs
Limonneux,7.38,159.6,45.5,0.251,22.8,2.22,32.7,789.9,Manioc
Rocheux,6.35,251.1,42.3,0.199,17.5,1.68,42.7,426.1,Sésame
Argileux,6.23,241.6,28.8,0.265,5.3,2.17,39.3,583.3,Patate douce
Salin,7.94,51.1,55.5,0.136,15.8,2.17,41.3,542.9,Maïs
Sableux,7.62,264.6,23.6,0.143,13.2,0.69,44.2,512.6,Maïs
Limonneux,6.39,193.2,32.1,0.12,14.8,0.1,27.7,197.8,Sésame
Sableux,6.6,183.9,36.7,0.155,29.3,2.46,39.0,299.6,Manioc
Rocheux,7.38,183.3,49.1,0.289,27.3,2.08,39.2,398.8,Arachide
Salin,7.83,284.4,33.5,0.063,39.4,0.19,27.2,248.3,Niébé
Limonneux,7.92,84.2,8.7,0.03,38.9,0.98,42.3,368.1,Sorgho
Limonneux,7.25,65.1,38.3,0.222,17.0,0.15,42.2,307.4,Gombo
Argileux,7.14,139.9,32.6,0.282,20.5,0.97,33.6,295.0,Patate douce
Rocheux,7.82,190.4,27.7,0.165,18.6,0.74,31.7,424.4,Gombo
Sableux,5.75,228.2,41.0,0.046,8.5,1.47,43.5,481.1,Niébé
Limonneux,6.09,91.1,10.6,0.228,8.0,1.66,30.7,722.1,Riz pluvial
Argileux,6.41,197.5,29.9,0.234,8.1,2.24,40.3,449.1,Riz pluvial
Rocheux,5.63,224.4,9.6,0.043,27.2,2.12,25.2,502.5,Maïs
Salin,5.57,73.8,47.8,0.249,33.7,0.64,28.6,135.0,Arachide
Rocheux,5.56,253.5,58.4,0.2,27.7,0.73,42.8,111.5,Gombo
Limonneux,5.7,231.7,31.7,0.231,6.9,0.76,39.1,197.2,Arachide
Sableux,6.39,85.6,59.8,0.273,22.3,0.46,31.5,120.0,Arachide
Rocheux,6.89,166.2,46.3,0.168,26.7,1.65,37.1,430.2,Gombo
Limonneux,7.42,272.8,31.3,0.092,15.2,1.46,38.4,174.9,Patate douce
Argileux,7.28,252.2,36.3,0.267,10.6,1.61,36.8,789.0,Niébé
Rocheux,7.8,90.5,13.6,0.168,10.1,1.02,32.3,109.8,Patate douce
Limonneux,6.36,142.8,46.3,0.275,14.2,0.39,30.8,756.7,Mil
Rocheux,5.67,191.2,22.2,0.087,25.8,0.23,28.6,155.3,Maïs
Argileux,6.95,59.1,11.5,0.153,13.9,2.33,44.1,368.0,Niébé
Salin,6.55,186.0,8.9,0.182,7.3,2.41,29.9,577.5,Maïs
Limonneux,5.87,237.3,15.0,0.081,35.1,1.64,36.9,320.6,Gombo
Rocheux,7.65,55.2,7.7,0.193,37.2,2.46,30.3,661.1,Patate douce
Sableux,7.89,282.1,26.4,0.278,38.0,0.15,26.0,426.0,Sésame
Argileux,6.34,219.2,39.4,0.079,30.5,1.74,30.4,699.9,Arachide
Limonneux,6.54,118.6,11.1,0.232,18.8,1.65,40.3,112.8,Manioc
Sableux,5.54,171.9,19.0,0.195,6.7,0.76,29.2,393.8,Maïs
Argileux,6.36,251.9,48.3,0.081,37.0,1.92,41.7,181.4,Niébé
Sableux,6.12,94.5,6.2,0.139,8.4,1.54,39.0,385.0,Maïs
Argileux,7.97,60.6,12.4,0.276,32.0,1.81,42.9,298.8,Riz pluvial
Argileux,7.74,228.8,39.5,0.056,37.5,1.1,36.0,354.4,Niébé
Argileux,7.5,162.8,51.3,0.08,39.7,0.22,26.0,763.2,Sorgho
Sableux,7.52,138.1,9.1,0.292,20.8,1.96,39.7,583.5,Patate douce
Limonneux,7.66,294.5,46.4,0.103,20.0,0.66,44.6,625.0,Gombo
Sableux,7.48,220.8,40.9,0.053,29.3,1.8,38.7,142.6,Sorgho
Sableux,6.39,215.3,57.1,0.236,28.1,1.2,30.5,560.4,Mil
Salin,5.62,291.3,51.5,0.139,36.9,0.37,41.3,778.7,Riz pluvial
Sableux,6.0,287.5,42.9,0.184,23.5,0.6,41.5,667.7,Mil
Sableux,5.7,96.2,11.4,0.242,37.2,2.17,25.1,471.3,Niébé
Argileux,7.5,129.7,48.0,0.177,8.8,2.24,26.2,449.1,Sorgho
Rocheux,7.76,125.5,6.4,0.071,18.6,1.79,33.6,707.8,Gombo
Argileux,7.47,95.3,56.5,0.161,32.6,0.56,31.4,378.8,Niébé
Sableux,5.72,273.4,43.0,0.089,28.4,1.43,26.5,351.2,Patate douce
Limonneux,7.02,191.8,48.2,0.091,26.8,2.42,30.0,719.4,Sésame
Rocheux,5.69,58.7,54.1,0.231,15.9,2.41,41.1,556.6,Arachide
Rocheux,7.37,64.1,51.7,0.071,7.8,2.06,26.0,617.6,Arachide
Salin,7.13,197.8,7.8,0.228,7.3,2.44,28.6,400.5,Mil
Argileux,6.43,138.6,22.7,0.261,11.9,0.93,37.3,625.7,Mil
Argileux,5.91,161.5,42.6,0.285,34.4,1.68,43.3,315.3,Arachide
Sableux,6.82,86.5,7.1,0.106,6.2,0.5,31.1,405.9,Gombo
Sableux,7.75,250.7,14.6,0.062,13.1,1.75,27.5,667.9,Sésame
Argileux,7.3,116.5,50.0,0.29,24.2,1.04,36.0,657.1,Arachide
Argileux,6.17,264.6,6.7,0.161,7.4,1.09,31.0,338.8,Sorgho
Salin,5.92,263.0,15.5,0.281,32.5,2.2,42.1,657.1,Manioc
Rocheux,5.84,83.8,46.1,0.109,17.8,1.57,25.7,249.5,Mil
Rocheux,7.8,189.4,33.3,0.155,25.0,1.17,40.2,575.3,Riz pluvial
Rocheux,5.85,231.5,38.9,0.027,23.3,0.38,25.6,433.7,Niébé
Rocheux,7.02,138.9,11.0,0.264,28.7,0.32,34.8,595.6,Niébé
Rocheux,6.94,299.3,9.6,0.291,18.4,0.15,44.7,639.8,Arachide
Limonneux,7.45,289.7,24.2,0.032,39.1,2.05,41.4,128.2,Gombo
Limonneux,5.62,165.0,12.2,0.092,22.7,1.75,34.5,489.1,Manioc
Rocheux,6.42,208.7,14.0,0.109,27.2,0.58,27.0,670.4,Mil
Sableux,6.61,198.7,29.2,0.13,32.3,1.22,34.0,692.5,Niébé
Rocheux,7.83,161.9,29.4,0.182,6.2,1.02,37.1,262.8,Mil
Rocheux,5.57,253.1,40.0,0.078,16.2,0.14,25.0,279.7,Gombo
Sableux,7.57,167.2,40.7,0.083,16.7,1.06,30.8,714.8,Sorgho
Limonneux,6.45,62.6,48.2,0.233,38.4,1.75,37.0,402.4,Sésame
Limonneux,7.09,58.5,50.1,0.288,39.2,2.24,41.1,584.4,Patate douce
Sableux,7.29,60.9,32.7,0.154,24.9,2.09,38.4,493.7,Gombo
Limonneux,7.97,102.0,24.6,0.162,38.0,1.42,44.3,696.7,Patate douce
Limonneux,6.55,114.6,55.5,0.298,37.5,0.19,29.1,303.8,Maïs
Sableux,6.25,213.6,20.1,0.227,38.9,1.19,25.1,689.5,Sorgho
Limonneux,5.75,94.0,18.3,0.276,35.1,0.93,36.2,228.8,Riz pluvial
Salin,5.71,158.6,13.0,0.164,25.2,0.38,34.5,129.0,Riz pluvial
Rocheux,6.2,179.0,25.0,0.062,33.3,2.0,44.2,434.0,Sorgho
Limonneux,5.88,198.5,28.7,0.124,6.8,0.44,34.2,204.2,Sorgho
Rocheux,6.18,156.2,37.5,0.115,8.3,1.57,43.5,235.2,Patate douce
Salin,7.51,81.7,43.3,0.06,36.3,1.35,31.1,356.9,Niébé
Argileux,5.73,137.2,9.6,0.062,27.0,2.18,41.2,294.4,Manioc
Sableux,5.89,250.5,58.5,0.147,25.0,2.12,43.6,265.7,Sorgho
Salin,6.94,81.6,57.8,0.046,11.6,0.14,37.4,544.2,Arachide
Salin,7.75,215.2,58.6,0.131,35.4,1.28,32.6,230.5,Riz pluvial
Salin,6.08,231.4,53.8,0.266,29.6,1.26,30.6,225.3,Maïs
Salin,6.04,214.5,29.9,0.073,21.7,0.71,33.0,124.4,Mil
Argileux,6.31,149.9,50.8,0.101,23.4,0.75,43.0,338.4,Mil
Rocheux,6.89,229.2,11.8,0.292,7.3,0.79,27.1,665.8,Maïs
Argileux,7.98,64.2,20.5,0.055,34.0,1.12,38.6,283.0,Sorgho
Salin,7.45,105.2,30.3,0.128,8.8,1.16,31.4,445.4,Mil
Sableux,7.25,95.0,33.7,0.132,19.8,1.45,37.1,469.4,Mil
Rocheux,6.41,64.9,29.0,0.146,14.5,0.38,32.8,509.0,Arachide
Rocheux,7.69,280.1,48.3,0.268,16.0,0.72,32.2,226.5,Niébé
Argileux,6.39,224.0,50.1,0.209,34.1,0.9,42.1,545.1,Sorgho
Sableux,7.16,125.6,10.2,0.212,9.5,2.16,42.9,751.9,Manioc
Salin,7.31,160.2,49.2,0.184,11.5,0.26,44.3,433.8,Mil
Rocheux,5.52,170.4,9.4,0.085,5.9,1.73,29.9,791.4,Mil
Sableux,6.28,113.7,47.6,0.26,39.8,2.49,35.2,589.9,Niébé
Sableux,7.69,151.5,15.8,0.153,33.2,1.89,35.7,657.0,Manioc
Limonneux,6.95,121.7,57.4,0.081,35.0,2.2,26.3,793.4,Niébé
Argileux,6.28,220.2,32.7,0.04,11.6,1.4,27.5,271.8,Mil
Rocheux,6.97,134.8,25.5,0.126,21.4,0.67,32.6,567.5,Sésame
Salin,7.76,157.7,9.6,0.082,9.8,0.75,38.8,123.4,Sorgho
Sableux,5.78,157.2,24.0,0.025,23.0,1.04,35.3,546.1,Niébé
Sableux,6.06,55.6,55.2,0.295,6.6,1.71,43.9,378.0,Maïs
Sableux,5.86,248.1,38.2,0.218,29.6,0.87,38.9,199.3,Gombo
Rocheux,6.68,143.3,35.1,0.255,13.9,0.84,28.3,239.4,Manioc
Salin,7.39,245.3,32.3,0.238,25.6,0.81,34.4,160.8,Mil
Rocheux,7.42,143.2,57.7,0.253,14.1,0.88,26.7,465.9,Maïs
Argileux,7.3,216.6,13.1,0.133,17.1,1.44,39.5,654.7,Manioc
Rocheux,7.97,275.1,41.1,0.282,36.3,0.61,32.3,763.1,Arachide
Limonneux,5.78,106.7,5.2,0.253,38.3,0.82,30.6,582.3,Patate douce
Sableux,5.57,115.8,30.5,0.183,26.2,2.45,26.7,738.5,Arachide
Sableux,7.58,70.7,27.5,0.19,6.5,0.63,33.0,219.6,Arachide
Rocheux,7.1,165.9,47.2,0.092,33.6,0.9,31.0,750.1,Niébé
Salin,6.58,60.4,27.9,0.284,6.2,0.89,28.8,337.2,Manioc
Rocheux,6.65,218.0,16.1,0.246,12.0,1.72,31.9,335.1,Patate douce
Rocheux,5.8,138.5,60.0,0.031,31.3,2.44,39.9,328.0,Sorgho
Limonneux,6.99,104.2,30.3,0.281,26.2,1.75,42.1,791.5,Niébé
Argileux,7.94,202.5,46.5,0.11,39.0,0.13,29.8,185.4,Patate douce
Sableux,6.83,237.7,56.8,0.123,37.9,0.94,36.7,639.3,Patate douce
Limonneux,6.81,50.9,27.2,0.16,12.6,2.02,28.8,464.4,Manioc
Sableux,5.82,129.3,44.1,0.141,20.7,0.23,44.2,141.9,Riz pluvial
Sableux,6.94,113.6,38.6,0.184,30.6,2.22,40.5,749.0,Sésame
Rocheux,7.95,90.4,32.0,0.042,8.5,2.48,38.9,595.6,Riz pluvial
Rocheux,7.07,227.9,55.5,0.284,16.6,1.16,40.7,327.2,Maïs
Limonneux,7.27,233.8,35.4,0.152,25.9,2.4,39.4,158.1,Patate douce
Sableux,6.82,64.5,15.6,0.197,26.9,2.5,34.2,540.0,Mil
Salin,7.39,289.9,39.3,0.05,14.1,0.22,32.5,442.6,Mil
Argileux,7.97,280.2,14.3,0.207,13.5,1.17,41.8,188.9,Sésame
Salin,7.81,144.5,53.8,0.113,17.7,0.64,30.0,417.4,Gombo
Rocheux,7.3,224.1,38.2,0.111,31.3,2.44,25.3,672.5,Manioc
Rocheux,6.93,184.4,39.1,0.208,31.8,1.77,27.2,173.5,Sésame
Salin,6.26,152.9,11.9,0.271,28.3,2.08,36.6,579.4,Sorgho
Salin,7.32,222.9,39.8,0.127,34.8,0.31,27.7,586.5,Arachide
Rocheux,6.62,234.9,5.9,0.025,28.0,2.47,38.2,510.5,Sorgho
Argileux,7.71,193.5,49.8,0.183,27.3,1.39,41.5,651.5,Riz pluvial
Sableux,6.77,110.0,9.8,0.045,39.8,1.21,32.9,320.7,Maïs
Salin,7.71,185.2,41.9,0.064,10.4,0.41,41.1,547.3,Mil
Rocheux,7.51,202.4,25.3,0.295,7.3,1.18,27.6,284.7,Patate douce
Sableux,7.09,191.7,53.0,0.157,11.0,0.33,39.7,537.1,Niébé
Argileux,6.46,203.9,11.4,0.088,39.1,0.66,40.1,427.5,Niébé
Salin,6.29,225.0,28.3,0.101,25.2,1.08,42.9,684.0,Riz pluvial
Salin,5.81,218.9,44.3,0.19,19.9,0.26,37.0,415.1,Riz pluvial
Limonneux,6.91,237.8,10.1,0.26,32.4,1.34,44.6,123.2,Sésame
Salin,7.8,57.7,7.6,0.061,11.8,1.27,33.9,333.0,Riz pluvial
Salin,6.03,146.6,7.3,0.064,32.5,1.01,30.8,381.1,Mil
Limonneux,7.18,146.2,28.2,0.144,7.9,0.88,38.8,470.9,Manioc
Rocheux,7.18,170.2,42.4,0.036,5.8,1.19,25.5,309.0,Niébé
Argileux,6.51,243.6,14.6,0.173,7.3,0.41,45.0,555.2,Niébé
Argileux,7.75,266.9,30.3,0.09,31.8,0.37,34.1,487.0,Gombo
Rocheux,6.82,90.5,40.0,0.257,18.8,1.78,32.3,181.5,Maïs
Limonneux,7.39,211.8,5.3,0.075,13.6,0.91,40.6,500.3,Sorgho
Argileux,6.52,141.4,40.5,0.253,20.5,1.09,40.0,160.6,Niébé
Limonneux,5.69,266.1,20.7,0.106,29.5,1.42,34.8,334.1,Patate douce
Sableux,6.03,94.8,40.1,0.044,23.3,0.96,28.2,240.1,Sorgho
Sableux,6.38,198.9,9.5,0.023,8.4,1.35,33.9,613.1,Sésame
Limonneux,5.59,68.0,26.1,0.24,36.9,0.64,26.6,117.9,Niébé
Salin,6.04,169.1,35.6,0.202,27.9,1.08,35.3,110.0,Riz pluvial
Salin,7.9,277.4,29.1,0.219,9.0,0.83,28.7,247.3,Gombo
Argileux,7.07,123.2,11.6,0.062,35.3,0.52,39.5,363.4,Gombo
Sableux,5.96,79.4,18.6,0.181,22.6,1.38,40.5,538.7,Sorgho
Limonneux,6.29,202.7,16.8,0.037,19.7,2.2,30.0,475.1,Manioc
Sableux,6.19,212.8,44.6,0.223,12.7,0.4,26.7,709.5,Riz pluvial
Rocheux,5.55,91.5,14.5,0.042,31.6,1.14,44.4,312.8,Patate douce
Argileux,7.34,191.0,26.5,0.039,29.7,1.22,42.9,222.7,Patate douce
Rocheux,7.21,183.0,39.3,0.109,27.1,2.31,29.3,706.3,Arachide
Argileux,7.83,239.1,36.5,0.22,7.8,0.3,39.7,537.4,Niébé
Limonneux,7.1,191.6,29.2,0.184,36.9,1.09,31.3,501.3,Niébé
Salin,5.63,155.8,9.0,0.111,28.4,2.42,39.2,747.7,Sorgho
Salin,5.99,173.6,9.7,0.134,13.0,1.62,27.0,286.7,Riz pluvial
Argileux,7.8,66.8,10.1,0.04,8.2,0.57,42.4,408.9,Riz pluvial
Rocheux,6.76,257.6,40.3,0.298,30.9,0.22,44.9,156.8,Sésame
Salin,5.87,152.4,11.9,0.188,13.3,0.4,28.1,259.8,Manioc
Rocheux,5.92,94.1,36.7,0.231,22.8,2.16,41.1,711.6,Sésame
Limonneux,7.73,102.8,55.4,0.182,36.1,0.64,32.7,349.1,Mil
Limonneux,5.64,108.6,45.1,0.064,12.1,1.15,44.2,219.9,Maïs
Sableux,7.29,62.1,11.1,0.078,11.2,1.92,42.7,439.7,Sésame
Rocheux,6.75,259.3,45.9,0.112,22.6,1.93,34.5,533.1,Patate douce
Sableux,7.25,158.0,55.0,0.086,16.6,0.69,27.4,500.9,Patate douce
Sableux,6.94,126.0,34.9,0.177,16.9,0.39,44.5,599.7,Sésame
Salin,6.45,249.9,5.0,0.154,34.7,1.64,35.2,479.7,Manioc
Sableux,5.54,279.6,34.4,0.172,24.2,2.43,26.4,306.3,Arachide
Rocheux,7.92,175.4,40.9,0.055,26.8,0.98,32.2,341.0,Niébé
Limonneux,7.8,149.1,5.5,0.155,6.8,0.78,38.0,108.6,Sorgho
Argileux,6.05,77.9,31.5,0.204,11.4,1.82,31.2,656.6,Manioc
Limonneux,6.27,284.1,54.7,0.142,28.3,1.87,32.8,223.5,Patate douce
Limonneux,6.58,282.7,41.7,0.27,13.6,0.32,26.9,798.5,Manioc
Rocheux,7.06,181.6,59.8,0.253,36.2,1.09,41.1,618.8,Sésame
Salin,6.42,268.7,54.0,0.025,32.1,0.45,40.8,453.4,Riz pluvial
Rocheux,6.01,277.2,46.5,0.035,5.2,0.25,29.3,298.3,Manioc
Limonneux,5.87,154.0,52.4,0.069,20.1,2.48,30.3,186.4,Niébé
Argileux,7.86,171.5,51.6,0.203,26.8,0.33,31.6,179.4,Sorgho
Rocheux,7.57,78.6,10.6,0.277,36.1,2.06,34.4,596.1,Gombo
Argileux,5.9,83.5,48.6,0.067,30.7,1.98,35.3,251.6,Riz pluvial
Argileux,5.9,294.4,52.2,0.269,14.9,1.24,27.0,479.2,Arachide
Salin,7.91,217.8,29.9,0.299,31.4,1.56,43.3,411.0,Patate douce
Salin,5.85,169.7,32.1,0.122,36.9,0.45,29.2,418.5,Niébé
Salin,7.44,60.0,25.2,0.106,5.8,1.57,30.9,281.7,Riz pluvial
Argileux,6.01,253.9,54.1,0.277,14.9,1.67,38.8,530.7,Mil
Limonneux,7.03,54.1,47.6,0.178,22.9,0.25,33.0,697.6,Riz pluvial
Salin,6.25,257.4,10.3,0.094,8.1,1.46,28.6,121.7,Gombo
Rocheux,5.9,175.4,43.8,0.287,25.8,0.26,26.9,122.7,Arachide
Limonneux,7.2,275.7,7.6,0.102,26.2,0.82,30.3,604.8,Arachide
Argileux,6.55,88.7,14.3,0.03,12.5,1.47,43.1,230.9,Arachide
Limonneux,7.68,250.0,27.5,0.152,25.4,0.46,43.4,443.1,Maïs
Argileux,7.15,137.5,48.7,0.2,29.1,0.99,43.4,387.0,Manioc
Limonneux,7.47,200.1,19.8,0.081,36.8,0.39,36.3,333.4,Maïs
Salin,7.5,109.6,55.5,0.135,35.5,2.31,39.4,424.9,Riz pluvial
Sableux,6.22,245.4,50.3,0.195,23.3,0.85,34.4,174.4,Arachide
Limonneux,6.09,216.1,46.2,0.078,27.6,0.41,42.9,475.6,Patate douce
Salin,6.16,240.3,17.2,0.173,13.5,2.37,27.0,775.8,Patate douce
Limonneux,6.89,222.0,35.5,0.205,19.8,0.57,40.2,240.1,Patate douce
Limonneux,6.89,293.0,12.6,0.262,15.5,0.12,25.8,553.0,Gombo
Argileux,7.08,134.7,32.2,0.034,9.5,1.19,36.4,667.8,Maïs
Salin,5.98,222.3,17.3,0.202,19.3,1.1,27.7,531.6,Arachide
Rocheux,5.84,157.9,30.9,0.252,34.4,2.04,43.5,316.8,Niébé
Sableux,5.7,105.4,58.2,0.281,5.2,0.59,34.1,514.3,Gombo
Limonneux,6.98,261.9,47.9,0.212,32.0,1.57,41.9,481.0,Sorgho
Rocheux,5.59,162.0,34.8,0.267,12.7,1.96,34.4,178.0,Manioc
Rocheux,7.13,151.6,9.2,0.183,18.5,1.51,37.5,183.8,Sorgho
Rocheux,7.15,83.9,23.4,0.162,20.4,2.41,34.0,261.6,Manioc
Salin,6.88,55.8,52.5,0.025,25.5,1.36,29.6,192.9,Mil
Salin,5.66,69.1,14.0,0.145,29.7,2.43,26.2,170.0,Niébé
Rocheux,6.85,125.4,49.2,0.115,36.6,2.41,39.6,658.6,Maïs
Sableux,5.67,179.6,20.3,0.214,20.1,0.8,32.1,585.5,Maïs
Argileux,6.93,155.2,22.0,0.21,15.1,2.36,42.2,161.6,Manioc
Rocheux,7.19,206.7,50.4,0.178,12.7,1.07,31.3,774.0,Patate douce
Sableux,7.12,70.6,31.3,0.136,21.0,1.27,41.0,176.6,Gombo
Salin,6.86,275.8,9.8,0.204,26.3,1.36,43.9,272.2,Arachide
Rocheux,6.94,129.1,50.7,0.188,8.9,0.67,33.6,666.1,Gombo
Rocheux,5.63,143.4,57.1,0.213,21.8,0.43,44.5,668.3,Mil
Argileux,6.24,292.6,13.6,0.022,31.0,0.34,36.9,259.2,Maïs
Rocheux,7.12,277.1,13.8,0.188,24.0,1.72,39.7,174.5,Mil
Sableux,7.56,290.1,35.1,0.201,11.0,0.76,40.4,475.9,Mil
Salin,7.96,82.0,50.8,0.192,6.2,1.9,28.0,595.4,Gombo
Sableux,5.57,259.5,35.8,0.162,7.6,1.7,40.6,362.0,Patate douce
Salin,5.92,144.3,17.2,0.214,8.7,1.95,36.0,373.5,Mil
Salin,7.53,173.4,32.0,0.251,35.7,0.67,41.8,492.2,Sésame
Sableux,6.1,78.6,36.9,0.051,32.7,2.4,39.5,223.6,Patate douce
Argileux,5.86,240.6,43.4,0.129,15.3,1.09,41.4,719.1,Arachide
Argileux,5.81,260.8,34.2,0.23,10.4,1.27,26.8,670.1,Sorgho
Limonneux,6.9,90.6,52.7,0.047,33.7,0.71,29.7,797.6,Sésame
Rocheux,7.57,206.4,14.2,0.057,21.8,0.59,36.0,276.9,Riz pluvial
Salin,6.53,255.7,21.4,0.203,6.2,2.02,44.2,118.8,Riz pluvial
Rocheux,6.44,113.2,39.7,0.292,29.5,0.8,30.6,154.4,Maïs
Rocheux,7.37,190.0,52.8,0.078,22.4,0.52,39.8,349.4,Sorgho
Sableux,6.13,282.0,5.4,0.202,14.8,1.75,35.8,206.4,Manioc
Rocheux,6.21,257.2,58.8,0.169,25.9,0.96,42.6,514.7,Maïs
Sableux,6.24,240.7,11.2,0.211,35.8,1.27,28.2,568.3,Sésame
Sableux,6.4,243.9,23.0,0.265,26.5,0.51,41.9,662.4,Riz pluvial
Sableux,6.55,252.5,34.5,0.278,30.2,2.14,44.8,553.8,Mil
Salin,7.35,180.9,22.1,0.251,31.5,1.65,35.3,589.4,Mil
Rocheux,7.09,204.6,13.9,0.23,32.3,0.17,32.7,483.6,Riz pluvial
Limonneux,5.75,214.7,22.2,0.141,33.3,1.86,30.8,445.6,Arachide
Sableux,6.98,73.2,32.4,0.157,19.7,0.69,33.3,385.8,Gombo
Limonneux,5.89,61.2,50.9,0.292,13.8,1.19,31.1,556.5,Patate douce
Salin,7.14,262.5,6.0,0.272,29.5,0.77,37.1,210.1,Arachide
Rocheux,6.66,157.0,34.7,0.287,29.7,1.55,32.9,322.2,Patate douce
Limonneux,6.95,290.3,37.4,0.164,15.8,2.27,40.9,687.3,Niébé
Salin,6.36,82.9,45.1,0.155,33.9,1.02,28.2,376.3,Mil
Limonneux,5.54,167.4,36.8,0.238,30.6,2.16,26.6,569.6,Niébé
Limonneux,7.36,142.5,34.5,0.034,33.5,0.13,31.9,625.2,Sorgho
Salin,6.11,171.6,51.3,0.147,28.5,2.17,42.7,415.3,Sésame
Argileux,5.92,66.9,19.2,0.185,10.5,2.34,25.7,586.1,Manioc
Salin,6.16,272.3,20.9,0.146,11.2,1.86,31.3,683.4,Sorgho
Argileux,6.91,135.2,33.9,0.161,39.4,1.1,43.7,431.0,Gombo
Argileux,6.24,199.6,41.2,0.153,30.4,0.55,35.5,298.1,Arachide
Sableux,6.3,190.4,17.1,0.171,16.5,1.29,28.8,759.2,Mil
Argileux,6.36,220.6,54.0,0.216,23.5,0.66,39.2,402.3,Arachide
Limonneux,6.72,190.9,49.5,0.02,11.9,1.57,43.8,280.8,Manioc
Argileux,5.61,220.9,44.6,0.247,31.1,1.54,36.4,467.2,Niébé
Limonneux,6.2,64.3,23.9,0.2,24.4,1.78,37.2,758.6,Patate douce
Rocheux,7.77,93.6,32.1,0.129,35.6,2.45,34.7,332.8,Sésame
Rocheux,5.54,292.8,36.7,0.256,9.6,0.75,33.5,676.6,Manioc
Limonneux,6.33,118.2,19.6,0.225,30.7,1.61,33.5,780.1,Arachide
Sableux,7.44,143.2,9.6,0.023,9.5,0.94,39.6,772.6,Patate douce
Rocheux,6.09,163.6,44.9,0.195,19.2,1.23,29.1,261.2,Gombo
Sableux,6.27,118.5,46.5,0.088,20.4,2.22,38.0,342.6,Niébé
Rocheux,7.2,137.1,21.7,0.219,36.6,2.47,42.8,113.5,Riz pluvial
Argileux,6.14,127.5,12.3,0.093,16.9,0.72,35.1,156.9,Gombo
Rocheux,6.78,196.8,40.1,0.129,39.0,1.13,39.4,592.2,Manioc
Sableux,5.77,250.2,59.0,0.021,19.8,0.8,43.6,242.3,Riz pluvial
Sableux,7.58,74.0,58.3,0.299,15.0,1.32,40.5,176.9,Manioc
Salin,6.25,223.1,27.4,0.133,21.3,0.85,34.7,409.9,Gombo
Rocheux,7.54,288.2,45.2,0.17,38.2,1.06,33.8,196.1,Arachide
Argileux,6.08,265.2,15.4,0.274,25.3,1.45,32.5,399.6,Sorgho
Salin,7.92,206.0,48.6,0.214,27.9,0.63,39.4,714.8,Niébé
Rocheux,5.62,79.6,46.1,0.116,35.2,1.08,41.4,177.7,Patate douce
Rocheux,6.72,135.2,12.4,0.14,21.0,0.8,32.7,263.3,Manioc
Salin,6.15,201.4,12.6,0.117,24.4,1.77,40.8,182.3,Gombo
Salin,7.9,261.7,38.2,0.248,28.8,0.7,40.4,190.1,Arachide
Sableux,7.96,174.7,10.5,0.162,26.7,1.59,44.2,680.2,Mil
Salin,5.54,291.8,49.3,0.204,26.3,2.5,36.6,237.7,Sorgho
