soil_type,soil_pH,temperature,humidity,organic_carbon,sodium,potassium,nitrogen,phosphorus,Soil_Quality,Disease
Regosol,6.32,42.0,19.0,0.441,10.5,163.4,0.0342,3.8,1.057,Rhizoctonia root rot
Lixisol,5.77,34.1,13.5,0.53,13.8,183.9,0.0334,13.9,1.221,Fusarium wilt
Arenosol,5.92,43.9,23.8,0.446,11.6,90.9,0.0238,12.1,1.13,Charcoal rot
Arenosol,6.15,37.5,30.9,0.471,8.3,145.5,0.0226,13.5,1.143,Root-knot nematodes
Arenosol,5.98,38.9,33.4,0.287,19.4,189.9,0.0203,9.6,1.034,Charcoal rot
Arenosol,5.55,43.3,10.8,0.838,11.4,110.4,0.0394,6.1,1.224,Pythium damping-off
Lixisol,6.13,42.9,19.0,0.648,19.9,50.0,0.049,14.7,1.372,Rhizoctonia root rot
Regosol,5.95,37.0,32.3,0.519,17.6,88.3,0.0244,9.7,1.126,Pythium damping-off
Lixisol,5.6,32.9,24.1,0.502,6.4,178.4,0.0467,7.0,1.184,Fusarium wilt
Arenosol,5.64,35.6,20.0,0.899,14.9,85.7,0.0327,9.5,1.257,Root-knot nematodes
Plinthosol,5.66,31.5,29.7,0.521,10.2,68.8,0.0378,3.2,1.092,Pythium damping-off
Arenosol,6.35,42.7,32.3,0.723,18.2,155.1,0.0265,7.6,1.142,Fusarium wilt
Arenosol,6.08,36.9,37.8,0.636,13.7,184.6,0.0467,5.5,1.236,Pythium damping-off
Plinthosol,5.64,38.7,26.9,0.519,10.3,157.5,0.0333,13.5,1.199,Fusarium wilt
Arenosol,5.89,34.5,33.1,0.478,5.8,78.0,0.0497,11.3,1.282,Root-knot nematodes
Arenosol,5.96,37.8,33.6,0.489,15.4,75.1,0.0437,5.8,1.182,Fusarium wilt
Arenosol,6.77,28.7,24.1,0.529,10.9,68.9,0.0493,7.8,1.181,Root-knot nematodes
Arenosol,5.0,36.0,10.6,0.225,10.8,92.5,0.0459,12.1,1.105,Pythium damping-off
Regosol,6.05,43.0,12.9,0.484,19.4,158.0,0.0302,14.5,1.215,Charcoal rot
Arenosol,6.48,44.4,31.4,0.53,18.6,52.6,0.0489,6.8,1.195,Pythium damping-off
Lixisol,5.4,30.3,10.8,0.516,19.1,80.3,0.0224,13.3,1.107,Fusarium wilt
Arenosol,5.59,34.1,19.6,0.745,13.4,193.7,0.0258,12.4,1.202,Rhizoctonia root rot
Arenosol,6.19,33.0,38.6,0.502,17.0,130.4,0.0332,4.8,1.095,Fusarium wilt
Arenosol,5.9,35.6,14.5,0.413,12.1,96.2,0.0456,12.7,1.256,Charcoal rot
Plinthosol,6.26,32.1,33.5,0.866,6.9,103.9,0.0412,7.1,1.276,Root-knot nematodes
Lixisol,6.08,32.7,12.1,0.98,13.3,112.7,0.0298,5.9,1.243,Rhizoctonia root rot
Regosol,5.34,32.7,22.9,0.205,11.1,136.3,0.0481,4.0,1.037,Root-knot nematodes
Arenosol,6.31,33.8,12.0,0.731,11.4,144.9,0.0488,5.4,1.254,Fusarium wilt
Arenosol,6.14,41.1,34.7,0.429,13.9,100.7,0.0247,5.1,1.031,Root-knot nematodes
Arenosol,7.0,43.3,23.7,0.751,15.5,122.2,0.0443,5.7,1.167,Root-knot nematodes
Vertisol,6.7,31.7,37.6,0.599,10.1,116.7,0.0405,4.8,1.116,Pythium damping-off
Arenosol,7.0,32.7,35.8,0.412,8.0,55.6,0.023,12.0,1.021,Pythium damping-off
Plinthosol,6.64,34.4,23.7,0.285,13.8,173.8,0.0211,3.6,0.895,Charcoal rot
Plinthosol,5.74,41.2,31.1,0.289,19.8,69.7,0.0425,5.4,1.087,Root-knot nematodes
Arenosol,6.11,44.2,32.7,0.495,5.8,100.3,0.0227,9.4,1.1,Root-knot nematodes
Arenosol,6.43,29.3,32.8,0.352,19.4,123.0,0.0316,14.1,1.14,Pythium damping-off
Regosol,6.42,42.0,35.5,0.855,19.2,104.1,0.0438,9.4,1.303,Pythium damping-off
Arenosol,6.21,44.9,25.4,0.725,6.8,113.2,0.0447,14.2,1.354,Pythium damping-off
Lixisol,6.28,35.6,14.4,0.966,15.5,181.9,0.0427,6.5,1.304,Charcoal rot
Arenosol,5.92,35.7,13.3,0.447,11.0,138.4,0.038,12.9,1.226,Root-knot nematodes
Regosol,5.7,28.9,21.5,0.743,19.8,122.2,0.0326,10.1,1.224,Pythium damping-off
Arenosol,6.2,32.2,28.9,0.827,12.3,154.3,0.0461,4.9,1.269,Fusarium wilt
Arenosol,6.0,39.3,15.7,0.868,19.5,85.6,0.0355,5.2,1.242,Fusarium wilt
Lixisol,6.43,42.5,24.0,0.837,19.5,143.2,0.0287,13.4,1.26,Rhizoctonia root rot
Arenosol,5.41,32.3,18.3,0.899,16.8,121.7,0.0427,3.4,1.213,Fusarium wilt
Arenosol,5.52,44.2,11.7,0.274,13.4,190.5,0.0376,13.5,1.141,Root-knot nematodes
Plinthosol,6.81,35.3,36.6,0.986,8.0,110.2,0.0332,9.3,1.238,Charcoal rot
Arenosol,5.78,38.3,27.4,0.639,18.7,111.2,0.0437,8.7,1.249,Root-knot nematodes
Lixisol,5.85,43.1,25.0,0.258,13.4,111.9,0.0227,3.3,0.942,Fusarium wilt
Lixisol,6.07,34.3,10.4,0.372,18.2,113.3,0.0419,7.1,1.151,Fusarium wilt
Vertisol,5.07,41.2,14.1,0.789,17.1,145.4,0.0329,4.5,1.101,Pythium damping-off
Lixisol,6.03,32.1,11.8,0.683,8.0,158.1,0.0214,10.4,1.169,Rhizoctonia root rot
Lixisol,5.24,35.4,37.1,0.65,16.3,64.6,0.0216,7.2,1.045,Pythium damping-off
Arenosol,5.77,32.7,26.3,0.778,15.3,111.3,0.0479,7.2,1.295,Rhizoctonia root rot
Regosol,5.0,30.4,23.8,0.326,17.3,163.9,0.02,9.9,0.95,Root-knot nematodes
Arenosol,6.11,31.7,40.0,0.785,10.6,112.0,0.0213,9.6,1.179,Pythium damping-off
Plinthosol,5.59,43.1,17.8,0.781,12.0,193.3,0.0354,13.4,1.285,Fusarium wilt
Arenosol,5.81,36.0,13.0,0.361,5.2,127.1,0.0452,10.7,1.203,Rhizoctonia root rot
Arenosol,6.25,37.2,25.3,0.267,17.1,56.0,0.0443,6.3,1.104,Root-knot nematodes
Vertisol,5.19,42.3,19.9,0.738,10.7,174.4,0.0358,7.8,1.16,Fusarium wilt
Vertisol,5.55,41.1,25.3,0.333,19.3,72.5,0.0387,8.9,1.107,Charcoal rot
Arenosol,6.19,29.8,25.0,0.7,11.8,161.9,0.0373,10.5,1.255,Root-knot nematodes
Arenosol,6.53,31.4,29.0,0.905,13.0,79.1,0.0409,3.0,1.204,Charcoal rot
Arenosol,5.83,36.5,24.3,0.571,10.0,77.2,0.0486,5.4,1.218,Root-knot nematodes
Plinthosol,6.01,42.2,33.3,0.797,8.9,150.6,0.045,6.5,1.295,Fusarium wilt
Arenosol,5.08,39.2,35.8,0.709,12.9,104.3,0.0329,4.8,1.083,Pythium damping-off
Lixisol,6.3,30.7,33.3,0.676,15.0,76.6,0.0323,4.1,1.121,Root-knot nematodes
Lixisol,5.85,34.4,17.5,0.233,14.7,157.7,0.029,7.2,1.024,Fusarium wilt
Lixisol,5.49,44.7,11.0,0.711,19.9,198.6,0.0349,12.8,1.242,Fusarium wilt
Arenosol,6.21,43.0,14.7,0.311,18.1,178.9,0.0329,4.6,1.031,Charcoal rot
Arenosol,5.89,35.0,21.9,0.545,9.5,111.9,0.0397,5.9,1.169,Fusarium wilt
Arenosol,6.47,44.5,16.9,0.798,14.2,62.9,0.0462,5.7,1.246,Fusarium wilt
Arenosol,6.06,43.5,26.1,0.672,14.6,69.4,0.0479,6.5,1.27,Pythium damping-off
Arenosol,6.18,44.3,18.6,0.786,5.9,109.6,0.0443,11.2,1.333,Root-knot nematodes
Arenosol,6.48,41.0,30.0,0.3,10.3,140.4,0.0202,3.7,0.913,Charcoal rot
Arenosol,7.0,28.8,25.9,0.719,10.0,75.5,0.0337,7.4,1.117,Pythium damping-off
Arenosol,5.38,40.2,39.1,0.853,8.4,58.8,0.0297,9.7,1.201,Charcoal rot
Regosol,5.72,31.6,29.4,0.644,14.2,52.1,0.0494,9.7,1.291,Fusarium wilt
Lixisol,5.85,41.4,22.1,0.9,15.4,123.3,0.0409,7.5,1.301,Fusarium wilt
Plinthosol,6.3,41.0,33.9,0.918,13.2,171.0,0.0333,12.8,1.316,Charcoal rot
Regosol,6.03,34.2,22.7,0.867,11.4,92.9,0.0409,6.6,1.29,Fusarium wilt
Plinthosol,6.92,39.3,27.0,0.707,9.7,67.9,0.0211,5.2,1.017,Charcoal rot
Plinthosol,6.08,41.5,34.2,0.221,14.8,114.9,0.0389,13.5,1.171,Charcoal rot
Vertisol,6.08,33.4,12.4,0.254,19.1,144.3,0.0461,14.4,1.237,Rhizoctonia root rot
Lixisol,5.88,43.2,23.9,0.892,6.5,131.3,0.0442,6.1,1.302,Rhizoctonia root rot
Arenosol,6.6,32.3,24.8,0.792,9.6,187.2,0.0478,3.1,1.206,Fusarium wilt
Arenosol,5.8,29.3,10.6,0.824,12.2,102.3,0.0403,3.2,1.212,Pythium damping-off
Lixisol,6.32,36.2,20.4,0.28,10.6,90.3,0.0242,11.3,1.048,Rhizoctonia root rot
Lixisol,6.18,31.3,38.3,0.332,11.5,148.7,0.0361,12.9,1.17,Rhizoctonia root rot
Arenosol,5.97,41.9,30.6,0.434,8.3,53.0,0.0237,13.1,1.144,Root-knot nematodes
Lixisol,6.22,43.3,23.4,0.372,6.7,88.4,0.043,8.2,1.156,Rhizoctonia root rot
Regosol,5.78,42.7,20.6,0.48,14.4,68.8,0.0264,13.9,1.165,Pythium damping-off
Arenosol,6.57,40.6,27.3,0.849,10.3,148.9,0.044,11.2,1.311,Rhizoctonia root rot
Arenosol,6.72,30.6,36.1,0.892,13.3,110.7,0.0472,7.9,1.284,Root-knot nematodes
Lixisol,6.65,35.5,36.4,0.609,9.6,59.2,0.0392,4.7,1.115,Fusarium wilt
Plinthosol,5.99,30.9,11.5,0.419,16.2,120.2,0.0394,7.2,1.157,Rhizoctonia root rot
Lixisol,5.74,35.9,32.4,0.21,6.7,97.9,0.0456,12.5,1.178,Charcoal rot
Arenosol,6.38,31.1,36.9,0.383,11.6,75.4,0.034,5.7,1.058,Pythium damping-off
Arenosol,5.22,44.2,14.2,0.579,8.6,51.7,0.0476,10.9,1.226,Rhizoctonia root rot
Arenosol,5.6,37.4,17.8,0.264,10.0,177.5,0.0411,7.4,1.084,Charcoal rot
Plinthosol,6.53,44.6,36.1,0.751,5.5,177.4,0.0428,11.2,1.279,Fusarium wilt
Vertisol,5.82,29.8,22.7,0.556,12.4,50.8,0.0341,5.4,1.126,Root-knot nematodes
Regosol,6.02,31.4,37.2,0.449,11.2,83.3,0.0274,3.1,1.038,Root-knot nematodes
Lixisol,6.05,34.4,15.0,0.542,7.0,141.9,0.0272,6.7,1.11,Rhizoctonia root rot
Arenosol,6.76,29.1,31.5,0.3,15.7,170.4,0.025,4.2,0.92,Root-knot nematodes
Lixisol,6.33,31.3,22.8,0.778,10.2,156.0,0.0309,7.6,1.186,Fusarium wilt
Lixisol,6.59,38.9,27.2,0.684,11.0,92.7,0.0468,6.5,1.213,Fusarium wilt
Regosol,5.66,43.7,39.4,0.214,6.0,191.1,0.0234,14.6,1.065,Charcoal rot
Lixisol,5.87,38.0,26.8,0.952,15.8,168.7,0.0235,12.6,1.281,Fusarium wilt
Arenosol,7.0,28.8,39.7,0.391,10.7,132.3,0.0497,13.9,1.2,Root-knot nematodes
Arenosol,5.0,28.0,17.1,0.542,5.7,118.1,0.0288,12.3,1.099,Pythium damping-off
Regosol,5.99,42.9,39.1,0.296,10.4,193.2,0.0465,3.1,1.109,Charcoal rot
Lixisol,5.93,36.2,12.9,0.242,14.7,180.6,0.0223,7.4,0.998,Rhizoctonia root rot
Lixisol,6.42,43.6,17.6,0.439,8.0,76.5,0.0465,10.8,1.213,Fusarium wilt
Regosol,6.26,44.5,21.7,0.764,19.5,109.5,0.0258,5.0,1.125,Pythium damping-off
Arenosol,6.07,33.3,25.3,0.405,7.7,170.7,0.0458,10.9,1.235,Pythium damping-off
Arenosol,5.78,29.6,22.9,0.861,16.3,120.4,0.0265,13.6,1.277,Pythium damping-off
Plinthosol,5.93,43.5,15.0,0.491,10.4,184.4,0.0223,10.2,1.11,Charcoal rot
Arenosol,6.14,43.7,38.6,0.837,16.0,153.6,0.0394,9.3,1.297,Pythium damping-off
Arenosol,6.98,43.6,18.6,0.441,18.2,103.4,0.0409,9.0,1.099,Rhizoctonia root rot
Arenosol,6.38,31.9,17.5,0.526,8.5,165.1,0.0393,4.9,1.121,Root-knot nematodes
Lixisol,5.86,43.8,38.6,0.862,9.9,100.5,0.0316,11.0,1.281,Pythium damping-off
Arenosol,6.69,34.6,12.3,0.762,18.2,52.7,0.0328,6.8,1.147,Fusarium wilt
Lixisol,6.16,43.8,10.0,0.274,7.1,82.2,0.0498,3.5,1.111,Charcoal rot
Plinthosol,5.68,30.4,28.6,0.829,17.6,127.4,0.0399,9.0,1.277,Pythium damping-off
Arenosol,6.88,38.9,17.2,0.935,15.6,127.8,0.0387,13.4,1.304,Rhizoctonia root rot
Arenosol,6.05,32.5,13.8,0.544,12.6,117.1,0.027,10.7,1.163,Fusarium wilt
Arenosol,5.25,30.2,20.3,0.21,15.7,157.7,0.0418,10.7,1.082,Fusarium wilt
Lixisol,6.26,29.3,12.8,0.613,15.0,117.9,0.0435,6.6,1.207,Fusarium wilt
Lixisol,5.27,37.2,15.9,0.765,15.2,132.3,0.04,5.0,1.164,Rhizoctonia root rot
Lixisol,5.0,36.6,23.3,0.537,16.9,94.6,0.0396,10.3,1.136,Root-knot nematodes
Regosol,6.21,32.9,23.9,0.978,8.4,102.9,0.0315,3.6,1.211,Rhizoctonia root rot
Arenosol,5.87,32.6,21.9,0.818,15.9,151.2,0.0312,12.6,1.287,Root-knot nematodes
Arenosol,6.03,30.8,39.3,0.447,17.5,76.0,0.0388,3.0,1.105,Fusarium wilt
Arenosol,5.97,44.4,18.7,0.65,10.4,68.0,0.0349,5.5,1.175,Rhizoctonia root rot
Arenosol,5.05,34.9,14.4,0.917,9.2,93.4,0.0375,4.1,1.161,Rhizoctonia root rot
Vertisol,5.22,29.5,20.3,0.847,11.7,61.9,0.0472,11.3,1.31,Root-knot nematodes
Arenosol,6.49,28.4,16.6,0.914,10.9,175.5,0.0265,11.4,1.235,Fusarium wilt
Plinthosol,6.95,31.2,37.3,0.945,13.9,116.3,0.0394,10.1,1.259,Pythium damping-off
Arenosol,6.26,34.9,27.1,0.887,14.2,156.8,0.0243,14.7,1.282,Fusarium wilt
Plinthosol,6.07,42.3,18.8,0.521,19.5,102.2,0.0437,11.6,1.265,Rhizoctonia root rot
Arenosol,5.94,39.6,12.9,0.681,8.6,119.5,0.0389,13.6,1.313,Fusarium wilt
Arenosol,6.54,38.4,29.0,0.417,12.7,140.7,0.0398,4.4,1.069,Charcoal rot
Vertisol,5.0,37.7,18.7,0.286,11.2,134.3,0.0203,4.9,0.872,Charcoal rot
Plinthosol,5.82,28.1,38.4,0.748,18.1,134.3,0.0383,5.7,1.212,Fusarium wilt
Plinthosol,5.76,33.3,11.9,0.268,16.4,186.3,0.0485,13.0,1.221,Rhizoctonia root rot
Arenosol,6.24,41.9,19.8,0.675,11.8,196.7,0.022,11.3,1.162,Rhizoctonia root rot
Vertisol,6.58,35.1,28.3,0.262,9.1,52.3,0.04,10.9,1.106,Rhizoctonia root rot
Regosol,5.86,41.8,23.8,0.768,12.9,164.7,0.0451,10.6,1.329,Pythium damping-off
Arenosol,5.0,40.4,17.6,0.589,17.1,138.0,0.0397,13.8,1.199,Rhizoctonia root rot
Lixisol,6.2,31.8,13.2,0.614,8.2,115.0,0.0338,9.4,1.192,Rhizoctonia root rot
Arenosol,5.43,31.2,14.0,0.36,7.1,192.9,0.028,12.2,1.082,Pythium damping-off
Plinthosol,7.0,39.9,21.6,0.261,14.1,199.6,0.0334,4.2,0.935,Charcoal rot
Regosol,6.53,28.9,30.6,0.575,15.9,128.1,0.0297,4.0,1.051,Pythium damping-off
Plinthosol,6.01,37.2,26.1,0.316,13.7,87.5,0.0327,4.2,1.047,Fusarium wilt
Arenosol,6.05,33.8,35.8,0.871,9.0,180.9,0.0301,11.8,1.294,Fusarium wilt
Arenosol,5.79,32.6,31.9,0.598,9.8,101.6,0.0293,11.3,1.184,Pythium damping-off
Lixisol,6.6,43.7,26.4,0.374,12.1,96.0,0.033,10.6,1.092,Fusarium wilt
Plinthosol,6.08,35.6,17.0,0.237,19.0,119.2,0.0225,3.4,0.943,Rhizoctonia root rot
Lixisol,6.33,35.2,29.7,0.333,19.6,79.6,0.0435,8.8,1.145,Charcoal rot
Vertisol,6.23,39.7,28.7,0.3,17.8,97.3,0.0446,12.9,1.206,Charcoal rot
Arenosol,5.54,31.9,38.8,0.491,17.6,62.4,0.0361,3.5,1.065,Pythium damping-off
Arenosol,6.73,39.7,36.4,0.95,16.5,196.4,0.0461,8.1,1.297,Rhizoctonia root rot
Plinthosol,5.67,32.1,39.4,0.708,15.3,161.7,0.0476,10.9,1.31,Fusarium wilt
Arenosol,5.97,34.2,27.8,0.285,9.7,68.8,0.0255,12.7,1.105,Root-knot nematodes
Plinthosol,5.1,35.1,19.6,0.9,13.7,132.6,0.0379,7.3,1.205,Fusarium wilt
Plinthosol,7.0,28.4,35.6,0.842,13.6,195.8,0.0472,12.8,1.306,Pythium damping-off
Plinthosol,6.14,39.1,29.2,0.472,9.3,165.6,0.0425,7.5,1.182,Root-knot nematodes
Regosol,6.16,38.0,32.2,0.789,15.8,175.0,0.0346,10.3,1.266,Root-knot nematodes
Arenosol,5.74,30.7,27.4,0.462,7.7,174.8,0.0317,9.8,1.134,Rhizoctonia root rot
Arenosol,6.26,30.5,34.4,0.434,17.5,153.2,0.0288,12.3,1.141,Charcoal rot
Arenosol,6.43,35.8,22.0,0.228,10.2,182.5,0.0344,4.0,0.986,Charcoal rot
Plinthosol,5.42,34.0,29.4,0.409,19.3,113.7,0.0401,11.9,1.164,Pythium damping-off
Plinthosol,7.0,31.0,35.6,0.265,19.5,106.6,0.0423,12.9,1.105,Root-knot nematodes
Arenosol,6.55,33.5,25.4,0.468,16.1,72.3,0.028,6.6,1.042,Root-knot nematodes
Plinthosol,6.04,38.3,31.3,0.365,16.2,193.9,0.0468,12.0,1.246,Charcoal rot
Lixisol,5.45,35.4,21.8,0.445,7.8,118.3,0.0338,13.5,1.161,Fusarium wilt
Lixisol,5.33,44.9,35.8,0.487,12.5,68.9,0.0236,5.1,0.989,Fusarium wilt
Vertisol,5.4,36.4,29.2,0.712,7.5,116.3,0.0252,10.6,1.146,Pythium damping-off
Lixisol,6.4,28.0,33.3,0.65,6.5,194.4,0.0369,10.3,1.214,Pythium damping-off
Arenosol,6.89,43.8,18.6,0.829,14.1,120.7,0.0423,4.3,1.172,Rhizoctonia root rot
Lixisol,5.49,43.2,26.5,0.715,18.9,94.4,0.0279,4.0,1.083,Root-knot nematodes
Arenosol,5.74,39.0,26.2,0.593,10.2,96.1,0.0325,12.6,1.215,Rhizoctonia root rot
Lixisol,5.01,34.9,21.5,0.665,18.6,136.3,0.0308,12.8,1.156,Charcoal rot
Arenosol,6.03,32.6,17.6,0.201,18.7,143.0,0.0252,5.0,0.976,Root-knot nematodes
Arenosol,6.56,28.5,29.7,0.573,19.1,169.6,0.0289,9.9,1.122,Pythium damping-off
Lixisol,5.86,39.8,22.3,0.304,16.4,119.8,0.0358,6.3,1.077,Charcoal rot
Lixisol,5.58,34.1,10.5,0.69,9.5,191.5,0.0496,10.1,1.298,Fusarium wilt
Plinthosol,5.4,28.3,13.4,0.472,15.2,128.6,0.0463,5.6,1.134,Pythium damping-off
Arenosol,5.58,38.6,26.3,0.299,12.0,129.0,0.0386,12.4,1.145,Charcoal rot
Arenosol,5.03,34.1,19.7,0.955,19.3,135.7,0.0452,8.0,1.267,Rhizoctonia root rot
Plinthosol,5.6,42.2,39.6,0.212,5.4,170.0,0.0493,7.2,1.116,Pythium damping-off
Lixisol,6.39,38.4,33.5,0.811,5.9,195.9,0.0484,11.2,1.344,Pythium damping-off
Plinthosol,5.71,35.6,31.1,0.694,12.0,87.8,0.0205,14.6,1.197,Pythium damping-off
Arenosol,6.0,35.4,17.2,0.395,18.0,183.7,0.0385,12.1,1.211,Charcoal rot
Arenosol,6.03,29.6,23.0,0.912,20.0,107.7,0.027,8.1,1.241,Root-knot nematodes
Arenosol,6.65,42.1,19.3,0.627,8.6,141.8,0.031,3.4,1.054,Fusarium wilt
Arenosol,5.31,31.3,16.4,0.465,19.8,50.2,0.0341,6.8,1.066,Rhizoctonia root rot
Plinthosol,5.61,38.1,37.6,0.761,13.1,121.6,0.0443,12.9,1.327,Fusarium wilt
Arenosol,5.44,28.2,29.2,0.792,14.9,157.2,0.0327,11.5,1.23,Rhizoctonia root rot
Plinthosol,5.89,34.3,12.3,0.76,11.9,124.0,0.0226,11.7,1.209,Rhizoctonia root rot
Plinthosol,6.04,33.9,20.5,0.837,5.1,192.8,0.0309,12.9,1.305,Root-knot nematodes
Lixisol,6.32,39.9,22.6,0.543,17.8,186.9,0.0291,7.2,1.101,Rhizoctonia root rot
Arenosol,5.7,36.0,34.6,0.442,6.8,190.1,0.0234,11.6,1.097,Charcoal rot
Arenosol,6.18,31.8,13.9,0.902,19.7,184.8,0.0415,9.8,1.333,Fusarium wilt
Lixisol,6.25,40.1,15.7,0.536,15.7,107.3,0.0319,9.5,1.153,Fusarium wilt
Plinthosol,6.67,33.8,15.6,0.744,10.1,73.6,0.0443,4.8,1.186,Charcoal rot
Arenosol,6.34,41.7,36.6,0.644,19.8,186.2,0.0318,3.9,1.102,Root-knot nematodes
Plinthosol,6.7,33.9,17.7,0.565,12.4,124.2,0.0346,3.1,1.049,Pythium damping-off
Plinthosol,6.42,37.8,34.8,0.92,12.4,173.2,0.027,9.3,1.22,Fusarium wilt
Plinthosol,5.46,34.5,16.6,0.942,8.4,128.3,0.0252,11.1,1.229,Fusarium wilt
Plinthosol,5.45,32.6,11.5,0.67,5.2,199.2,0.0468,10.8,1.271,Pythium damping-off
Arenosol,5.89,32.0,39.7,0.21,17.9,136.6,0.0323,3.5,0.993,Charcoal rot
Arenosol,5.79,30.9,39.3,0.213,13.5,73.2,0.0241,8.7,1.004,Pythium damping-off
Lixisol,5.31,39.2,13.9,0.346,7.7,169.9,0.0273,12.7,1.068,Fusarium wilt
Lixisol,6.61,35.8,15.9,0.554,19.7,155.8,0.0318,3.2,1.038,Rhizoctonia root rot
Arenosol,6.56,38.4,30.9,0.293,16.0,106.9,0.0223,4.1,0.92,Fusarium wilt
Vertisol,7.0,35.4,24.9,0.729,6.7,82.3,0.0332,3.9,1.07,Root-knot nematodes
Arenosol,5.52,39.9,38.0,0.995,8.1,85.9,0.0249,3.2,1.142,Fusarium wilt
Plinthosol,5.47,36.0,14.7,0.423,11.1,129.4,0.0383,4.0,1.056,Charcoal rot
Arenosol,5.53,28.1,30.8,0.643,9.8,159.3,0.033,5.9,1.123,Fusarium wilt
Lixisol,5.52,43.1,11.2,0.716,5.2,91.7,0.0428,14.9,1.323,Fusarium wilt
Arenosol,5.55,44.9,20.7,0.702,5.4,124.9,0.0216,9.3,1.12,Rhizoctonia root rot
Plinthosol,6.06,37.8,24.5,0.773,18.6,88.7,0.0365,3.9,1.198,Rhizoctonia root rot
Arenosol,6.58,39.5,33.6,0.789,5.4,56.8,0.0262,8.9,1.155,Rhizoctonia root rot
Lixisol,5.53,34.3,38.1,0.517,14.0,160.3,0.0205,9.2,1.054,Fusarium wilt
Arenosol,5.97,35.0,25.1,0.407,19.5,65.6,0.0341,10.5,1.163,Charcoal rot
Arenosol,6.16,29.2,16.3,0.923,6.3,121.4,0.0268,14.3,1.313,Root-knot nematodes
Arenosol,5.89,28.4,20.9,0.38,12.0,65.2,0.037,7.6,1.127,Root-knot nematodes
Arenosol,5.52,33.8,15.9,0.462,5.2,124.5,0.0229,7.9,1.033,Fusarium wilt
Vertisol,5.19,30.8,20.5,0.64,18.3,85.2,0.0286,13.6,1.164,Root-knot nematodes
Lixisol,6.2,30.7,17.8,0.841,12.3,180.0,0.0348,7.3,1.239,Fusarium wilt
Arenosol,6.13,40.8,14.7,0.988,9.4,102.4,0.0339,13.7,1.369,Fusarium wilt
Regosol,6.94,41.7,22.3,0.537,7.0,63.9,0.0466,9.2,1.17,Root-knot nematodes
Arenosol,5.0,33.0,22.4,0.752,14.7,142.2,0.0459,6.8,1.191,Rhizoctonia root rot
Arenosol,6.54,40.8,13.9,0.671,13.6,149.4,0.0423,9.3,1.225,Pythium damping-off
Lixisol,6.18,37.9,39.2,0.464,6.1,92.7,0.0391,10.1,1.19,Root-knot nematodes
Arenosol,6.5,34.4,24.2,0.637,18.9,186.7,0.0459,13.4,1.295,Root-knot nematodes
Lixisol,6.12,36.7,27.9,0.722,8.8,177.6,0.0308,11.1,1.238,Fusarium wilt
Plinthosol,5.7,33.8,25.6,0.279,14.0,120.6,0.0322,9.3,1.071,Pythium damping-off
Lixisol,5.99,40.8,39.4,0.544,12.4,164.5,0.0472,13.8,1.329,Rhizoctonia root rot
Vertisol,6.06,44.7,33.6,0.643,13.4,92.9,0.0395,6.1,1.205,Root-knot nematodes
Arenosol,5.76,33.1,23.3,0.445,7.3,65.7,0.0202,12.1,1.092,Fusarium wilt
Regosol,6.16,42.2,26.7,0.262,13.7,101.8,0.0417,6.7,1.103,Charcoal rot
Lixisol,5.46,39.6,24.4,0.746,10.7,62.5,0.0368,14.5,1.284,Root-knot nematodes
Regosol,5.42,36.7,10.8,0.79,7.7,165.5,0.0408,10.2,1.259,Rhizoctonia root rot
Arenosol,6.34,30.1,28.9,0.483,8.8,174.1,0.0344,13.9,1.204,Rhizoctonia root rot
Regosol,6.35,35.9,20.6,0.789,14.0,122.3,0.0471,8.5,1.297,Root-knot nematodes
Arenosol,6.05,30.7,20.7,0.478,18.6,196.1,0.0324,5.4,1.105,Root-knot nematodes
Arenosol,5.8,44.0,36.5,0.901,10.1,77.9,0.0336,6.7,1.242,Root-knot nematodes
Arenosol,6.26,39.4,39.3,0.704,11.7,137.9,0.0492,4.4,1.239,Root-knot nematodes
Lixisol,6.42,42.7,32.9,0.732,9.1,110.4,0.0233,10.4,1.157,Pythium damping-off
Arenosol,6.07,30.6,12.0,0.49,11.3,130.0,0.0244,4.7,1.05,Fusarium wilt
Plinthosol,5.67,33.3,27.3,0.42,17.2,117.9,0.0344,12.8,1.171,Root-knot nematodes
Lixisol,5.88,33.0,13.0,0.628,17.0,164.7,0.0468,13.9,1.343,Pythium damping-off
Plinthosol,5.94,41.1,23.7,0.657,17.7,121.8,0.0421,11.8,1.301,Rhizoctonia root rot
Arenosol,6.05,38.8,38.4,0.742,15.7,93.0,0.0389,10.5,1.291,Charcoal rot
Arenosol,5.67,28.2,20.0,0.681,13.7,100.5,0.0324,9.0,1.185,Pythium damping-off
Lixisol,5.65,35.6,25.0,0.471,15.4,118.3,0.038,14.1,1.223,Root-knot nematodes
Vertisol,5.06,42.7,27.2,0.515,19.9,175.2,0.0351,4.6,1.032,Rhizoctonia root rot
Plinthosol,6.05,35.5,11.5,0.714,19.5,174.7,0.0303,8.6,1.206,Root-knot nematodes
Arenosol,6.29,40.9,21.5,0.785,19.6,105.7,0.0339,6.9,1.202,Fusarium wilt
Arenosol,6.06,35.9,30.4,0.608,16.0,185.7,0.0218,13.3,1.184,Root-knot nematodes
Vertisol,5.53,43.1,23.2,0.214,13.2,167.1,0.0425,7.3,1.07,Root-knot nematodes
