pH,N,P,K,humidite,texture_du_sol,culture
6.32,58.12,25.9,63.78,17.36,sablo-argileux,sorgho
6.37,21.79,13.04,74.09,14.57,sablo-argileux,niebe
6.29,31.65,10.4,63.87,18.11,sablo-argileux,niebe
6.66,43.02,21.38,68.64,15.19,sablo-argileux,niebe
6.32,37.81,16.66,126.24,22.64,limono-argileux,sorgho
6.55,25.76,22.41,75.93,16.88,sablo-argileux,niebe
6.27,33.93,16.6,85.97,23.32,sableux,arachide
6.04,24.43,27.4,53.23,19.84,sablo-argileux,mil
5.97,41.88,13.74,64.2,27.51,sablo-argileux,mil
5.93,33.49,34.66,63.62,10.49,sablo-limoneux,arachide
5.51,51.72,25.52,125.25,69.66,argileux,riz
5.78,27.66,21.49,80.2,15.06,sablo-limoneux,arachide
6.78,27.81,17.82,77.5,19.35,sablo-argileux,niebe
5.2,57.15,46.14,125.34,38.13,argileux,riz
7.16,45.42,18.65,72.31,22.45,limono-argileux,sorgho
6.61,34.3,34.93,78.03,23.93,limono-argileux,sorgho
5.57,36.13,29.98,71.83,13.67,sableux,arachide
7.2,39.63,19.0,80.25,20.44,limono-argileux,sorgho
6.09,71.72,29.07,114.15,31.26,limoneux,riz
6.42,53.26,38.69,68.03,34.47,limono-argileux,sorgho
6.96,30.29,28.4,56.39,17.68,sableux,arachide
6.75,53.41,28.13,117.28,17.13,sablo-argileux,sorgho
6.37,22.39,28.01,72.43,10.73,sableux,arachide
6.23,32.65,23.27,66.85,28.04,limono-argileux,sorgho
6.19,54.14,44.02,137.49,64.46,limoneux,riz
5.68,38.44,22.8,87.0,18.45,sableux,arachide
6.68,26.18,11.39,54.32,19.02,sableux,niebe
5.9,20.41,10.73,72.69,16.92,sableux,mil
5.51,41.72,20.66,97.19,16.32,sableux,mil
6.18,56.5,28.06,95.51,32.03,sablo-argileux,sorgho
6.98,43.76,22.98,76.42,21.17,sableux,niebe
7.16,49.39,17.3,90.88,19.69,sablo-argileux,niebe
6.48,18.01,32.39,40.26,16.58,sablo-limoneux,arachide
6.01,27.12,21.66,75.58,18.1,sableux,niebe
5.64,66.49,26.82,85.65,56.13,limoneux,riz
6.96,21.79,16.82,53.35,18.76,sableux,niebe
6.12,27.25,17.25,111.54,20.03,sableux,mil
6.83,43.19,22.0,77.63,14.38,sableux,niebe
7.19,31.92,24.75,53.52,24.7,sablo-argileux,niebe
7.12,48.4,37.12,108.48,17.32,limono-argileux,sorgho
7.36,31.16,37.81,113.99,18.33,sablo-argileux,sorgho
6.32,31.88,19.54,71.49,17.05,sablo-argileux,niebe
5.98,42.92,28.88,94.83,20.47,sablo-argileux,sorgho
5.58,26.16,24.91,52.31,19.83,sableux,arachide
6.99,32.34,27.87,49.85,16.89,sablo-limoneux,arachide
6.76,22.3,22.89,63.01,17.78,sableux,mil
6.67,29.4,21.36,93.72,20.47,sablo-argileux,niebe
6.37,49.41,34.26,88.72,33.18,sablo-argileux,sorgho
6.05,28.8,17.93,80.74,19.72,sableux,niebe
5.63,70.49,20.16,85.67,41.58,limoneux,riz
7.3,40.55,37.67,125.38,15.09,limono-argileux,sorgho
7.05,43.77,17.97,96.41,19.22,sableux,niebe
6.97,36.83,29.34,116.86,34.3,sablo-argileux,sorgho
6.32,47.88,17.06,101.77,26.14,sableux,mil
5.35,65.79,34.78,100.51,48.99,argileux,riz
7.22,30.12,23.14,119.67,25.55,sablo-argileux,sorgho
6.41,22.91,17.55,119.52,18.15,sablo-argileux,mil
6.52,34.91,16.13,57.5,23.03,sableux,niebe
6.52,26.11,15.08,56.12,22.42,sableux,niebe
6.14,36.6,22.4,82.61,19.39,sableux,niebe
6.26,25.95,18.63,43.58,11.85,sablo-limoneux,arachide
6.22,38.03,37.25,61.7,18.9,sablo-argileux,sorgho
6.46,25.84,25.39,59.03,22.34,sableux,mil
5.52,33.27,18.23,65.18,12.45,sablo-limoneux,arachide
5.97,29.15,10.18,90.44,19.78,sableux,mil
5.64,27.77,23.63,79.59,15.34,sableux,arachide
6.67,30.6,22.44,94.49,30.63,sablo-argileux,sorgho
6.21,56.35,16.67,60.47,25.96,sablo-argileux,sorgho
5.89,51.29,45.37,136.6,64.33,limoneux,riz
6.98,28.86,27.23,59.58,10.2,sablo-argileux,mil
6.62,26.18,16.11,86.72,19.54,sablo-argileux,niebe
7.45,48.33,36.92,71.3,22.32,limono-argileux,sorgho
6.77,33.86,17.41,69.38,13.34,sableux,niebe
5.84,22.4,26.63,80.87,18.97,sablo-argileux,mil
6.57,27.58,21.76,98.22,25.91,sableux,mil
5.26,66.85,34.29,73.91,46.23,argileux,riz
6.68,34.71,10.25,64.47,17.72,sableux,niebe
5.24,58.24,29.61,70.25,48.87,argileux,riz
5.53,74.5,26.62,84.56,30.33,limoneux,riz
6.13,44.4,17.52,75.95,19.53,sablo-argileux,sorgho
6.5,41.62,19.43,65.69,25.84,sablo-argileux,mil
5.79,46.7,44.02,132.55,63.52,argileux,riz
6.43,33.24,30.76,49.82,17.69,sableux,arachide
6.34,47.72,24.51,123.82,20.28,limono-argileux,sorgho
6.35,39.01,29.81,70.94,21.84,sablo-argileux,mil
5.19,71.79,25.97,144.22,69.96,argileux,riz
6.36,40.83,23.38,72.34,21.91,sablo-argileux,niebe
6.07,26.77,23.48,103.84,18.12,sableux,mil
6.08,47.79,28.79,99.53,23.23,sablo-argileux,sorgho
6.86,48.87,13.01,83.4,12.64,sableux,mil
5.43,44.87,24.13,142.37,59.44,argileux,riz
6.82,34.03,20.42,61.31,20.37,sablo-limoneux,arachide
5.6,28.43,18.94,87.27,20.98,sablo-limoneux,arachide
6.83,32.57,38.32,113.96,22.21,sablo-argileux,sorgho
5.66,18.7,27.73,42.47,11.62,sablo-limoneux,arachide
6.46,22.74,24.42,84.78,13.43,sablo-limoneux,arachide
6.46,21.55,17.83,55.93,21.4,sableux,niebe
5.84,34.04,30.74,82.87,33.14,limono-argileux,sorgho
6.66,17.74,31.79,50.67,18.69,sablo-limoneux,arachide
6.49,64.48,26.08,113.96,58.61,argileux,riz
5.94,34.61,28.17,68.42,14.68,sablo-limoneux,arachide
5.64,28.54,17.75,81.15,16.77,sablo-limoneux,arachide
5.59,44.64,24.93,101.27,57.16,limoneux,riz
6.54,39.82,27.58,49.98,14.55,sablo-limoneux,arachide
7.04,22.59,21.66,70.91,14.95,sablo-argileux,niebe
6.52,49.82,30.32,60.52,30.93,sablo-argileux,sorgho
6.01,34.26,29.83,41.28,13.82,sableux,arachide
7.0,32.7,24.33,59.52,18.28,sableux,niebe
6.23,41.34,10.62,62.37,12.04,sablo-argileux,mil
5.67,32.73,22.21,117.36,23.36,sablo-argileux,mil
5.62,36.76,30.61,86.01,24.49,sablo-limoneux,arachide
7.0,43.42,14.74,75.3,22.35,sableux,niebe
7.08,44.76,16.07,92.95,14.09,sableux,niebe
7.5,51.15,18.14,118.44,28.63,limono-argileux,sorgho
6.87,45.39,24.67,75.78,14.16,sableux,mil
6.26,37.77,20.47,51.61,26.26,sableux,mil
6.29,34.0,13.01,84.51,14.55,sablo-argileux,niebe
7.39,50.64,25.87,68.14,15.68,sablo-argileux,sorgho
5.9,28.37,21.82,86.66,13.07,sableux,mil
5.27,63.85,23.8,94.65,41.72,argileux,riz
6.42,15.38,33.65,79.46,17.48,sableux,arachide
5.9,23.64,15.53,79.67,18.85,sableux,arachide
6.71,25.96,15.63,92.62,22.32,sablo-argileux,niebe
6.01,68.46,32.87,87.38,66.17,limoneux,riz
5.53,31.04,17.11,60.46,13.33,sableux,arachide
6.99,37.71,20.38,54.45,28.9,sablo-argileux,mil
5.95,24.11,30.02,62.23,23.1,sableux,arachide
6.5,43.99,42.35,115.62,54.38,limoneux,riz
7.23,58.06,30.21,63.17,18.01,limono-argileux,sorgho
5.42,55.44,46.43,96.9,67.31,limoneux,riz
6.64,22.26,14.41,56.22,14.33,sableux,niebe
5.81,44.65,23.64,70.1,28.67,sableux,mil
5.71,25.16,25.4,91.67,20.57,sableux,mil
6.45,39.52,21.77,74.34,17.4,sablo-argileux,niebe
6.71,35.68,31.91,122.34,16.27,sablo-argileux,sorgho
6.92,42.2,16.9,92.52,31.88,sablo-argileux,sorgho
6.37,44.79,33.83,94.81,63.52,argileux,riz
6.48,26.47,16.04,75.3,10.7,sableux,arachide
6.29,41.03,25.16,58.74,18.54,sablo-argileux,mil
6.18,43.25,18.7,103.21,17.09,sableux,mil
7.05,32.83,12.93,61.39,23.28,sablo-argileux,niebe
7.49,47.49,19.22,86.07,27.3,limono-argileux,sorgho
6.29,43.39,42.59,137.62,60.91,limoneux,riz
6.32,30.85,16.64,82.05,22.48,sableux,niebe
5.91,31.72,23.35,106.92,32.69,limono-argileux,sorgho
6.11,49.81,34.22,114.21,30.53,limoneux,riz
6.77,33.23,29.4,71.0,23.46,sablo-limoneux,arachide
7.09,31.07,12.45,66.41,21.58,sableux,niebe
6.4,16.48,17.46,51.6,11.25,sableux,arachide
6.24,20.2,22.12,71.8,20.39,sableux,arachide
5.7,60.24,20.17,118.87,65.76,argileux,riz
5.9,44.68,45.21,74.21,50.31,limoneux,riz
6.79,46.11,18.23,106.87,25.84,sablo-argileux,sorgho
5.54,41.35,18.41,105.02,29.17,sableux,mil
5.84,37.06,28.75,61.66,24.04,sablo-argileux,mil
6.15,33.53,29.41,73.15,14.06,sablo-limoneux,arachide
5.93,74.2,21.08,95.74,36.39,argileux,riz
6.04,17.47,21.69,67.99,16.1,sableux,arachide
6.42,16.79,16.78,75.27,14.31,sablo-limoneux,arachide
6.23,64.03,22.35,77.27,40.01,argileux,riz
6.55,39.79,28.68,51.53,17.03,sableux,arachide
6.88,46.68,17.06,83.73,17.37,sablo-argileux,niebe
6.1,21.19,16.04,69.92,12.25,sableux,arachide
5.94,44.87,22.84,91.9,25.23,sableux,mil
6.82,17.59,31.28,51.83,23.9,sablo-limoneux,arachide
6.23,40.43,24.02,89.84,16.18,sablo-argileux,niebe
6.89,40.97,22.74,56.32,19.06,sablo-argileux,niebe
6.67,25.46,14.6,70.02,14.35,sablo-argileux,niebe
5.79,54.94,44.92,81.99,67.85,argileux,riz
7.07,35.82,39.98,97.29,22.09,sablo-argileux,sorgho
7.17,33.27,12.25,77.86,12.7,sableux,niebe
6.73,41.49,10.16,70.54,14.86,sableux,niebe
6.51,29.36,19.51,67.26,14.05,sablo-limoneux,arachide
5.61,38.37,34.88,80.03,12.87,sablo-limoneux,arachide
5.98,34.56,34.66,71.69,20.11,limono-argileux,sorgho
6.46,33.43,21.37,113.94,17.77,sableux,mil
6.0,30.09,29.2,112.35,28.72,sablo-argileux,mil
5.6,71.56,48.16,118.61,50.75,limoneux,riz
6.97,46.4,26.06,63.49,18.25,sableux,mil
6.13,35.82,23.52,63.9,34.91,sablo-argileux,sorgho
5.14,69.23,36.9,85.05,57.79,argileux,riz
7.48,48.92,23.62,111.59,29.19,sablo-argileux,sorgho
6.47,47.17,14.65,69.74,14.37,sableux,niebe
7.0,28.98,16.59,89.17,16.56,sablo-argileux,niebe
6.65,25.68,16.18,72.36,25.5,sableux,mil
5.6,46.24,36.35,84.68,31.72,limoneux,riz
6.12,67.4,21.93,123.25,67.27,limoneux,riz
6.03,17.34,34.91,79.06,15.18,sablo-limoneux,arachide
6.46,60.43,44.68,100.82,66.28,argileux,riz
5.75,16.94,22.2,68.45,10.8,sableux,arachide
6.48,30.38,26.49,75.85,20.11,sablo-argileux,mil
6.38,45.56,37.78,129.15,26.07,sablo-argileux,sorgho
6.36,17.75,26.93,82.63,17.07,sableux,arachide
6.65,27.02,17.9,85.89,14.74,sableux,niebe
6.1,34.68,28.17,66.08,16.2,sablo-limoneux,arachide
7.18,47.43,27.66,101.1,32.49,sablo-argileux,sorgho
6.58,45.95,25.6,115.17,25.59,limono-argileux,sorgho
6.85,32.93,17.89,58.42,16.11,sablo-argileux,mil
6.01,48.91,12.82,72.73,13.22,sablo-argileux,niebe
6.83,56.03,29.97,91.97,26.44,sablo-argileux,sorgho
5.73,49.3,36.03,143.77,58.61,argileux,riz
5.79,36.89,13.71,76.83,10.81,sablo-argileux,mil
6.08,38.1,17.57,70.78,22.26,sablo-argileux,niebe
7.06,56.28,34.22,76.07,17.87,limono-argileux,sorgho
7.0,23.31,18.53,81.41,14.04,sablo-argileux,niebe
6.44,29.12,18.28,78.28,16.02,sableux,niebe
6.03,66.92,34.38,92.51,57.51,argileux,riz
6.73,24.17,20.48,68.03,27.3,sablo-argileux,mil
5.81,27.85,24.81,40.31,15.21,sableux,arachide
6.21,22.76,32.39,78.59,21.97,sableux,arachide
6.31,20.44,11.54,79.51,25.89,sableux,mil
5.3,73.22,41.7,123.52,49.53,argileux,riz
5.63,68.97,34.74,77.34,67.32,limoneux,riz
6.83,31.87,17.89,117.4,21.83,sableux,mil
6.21,36.94,11.39,99.5,21.21,sablo-argileux,niebe
5.97,38.06,15.56,78.47,14.69,sablo-limoneux,arachide
6.31,45.56,27.48,59.02,28.15,sablo-argileux,mil
7.14,38.45,31.7,63.26,33.84,limono-argileux,sorgho
7.45,53.94,38.67,78.22,31.63,sablo-argileux,sorgho
7.15,41.31,24.51,97.15,25.81,sablo-argileux,sorgho
7.13,33.97,10.98,87.06,20.63,sableux,niebe
5.56,36.55,12.68,54.0,18.77,sableux,mil
6.8,41.91,18.95,83.38,22.37,sablo-argileux,niebe
6.1,34.21,30.08,80.6,31.87,sablo-argileux,sorgho
6.34,39.75,39.95,85.86,30.87,limono-argileux,sorgho
7.37,45.42,27.91,128.48,29.69,limono-argileux,sorgho
6.3,31.08,19.44,56.48,24.41,sablo-argileux,niebe
6.42,48.78,21.25,96.47,17.11,sableux,niebe
6.11,43.56,28.12,52.28,10.81,sablo-argileux,mil
5.89,17.64,23.78,55.33,18.1,sableux,arachide
7.07,54.01,31.23,92.08,17.11,limono-argileux,sorgho
6.09,52.4,26.19,124.77,33.67,sablo-argileux,sorgho
5.87,44.32,22.5,143.44,58.19,limoneux,riz
6.9,22.14,17.65,64.46,19.62,sableux,niebe
6.94,39.0,10.33,84.38,11.63,sableux,mil
7.49,38.8,29.23,104.49,27.63,sablo-argileux,sorgho
6.22,35.15,23.77,115.11,15.51,sablo-argileux,mil
6.44,22.41,15.86,50.1,17.85,sableux,niebe
5.96,49.86,13.63,96.43,20.86,sableux,mil
6.53,42.56,20.67,80.3,14.31,sablo-argileux,niebe
6.09,45.06,33.27,100.75,27.98,sablo-argileux,sorgho
6.47,16.19,28.19,59.59,10.16,sablo-limoneux,arachide
5.82,49.15,38.91,79.94,58.53,limoneux,riz
6.93,35.73,16.47,118.44,23.08,limono-argileux,sorgho
6.49,45.72,33.12,99.68,33.97,sablo-argileux,sorgho
6.74,24.93,13.97,80.18,22.03,sablo-argileux,mil
5.67,51.04,41.97,79.74,54.98,limoneux,riz
6.42,29.67,32.0,69.01,21.18,sableux,arachide
6.27,41.2,17.22,89.29,34.15,sablo-argileux,sorgho
6.66,42.04,31.6,97.98,24.26,limono-argileux,sorgho
5.53,29.87,23.6,68.83,22.16,sablo-limoneux,arachide
5.97,67.85,23.84,121.51,54.29,argileux,riz
5.91,38.32,31.98,77.79,13.11,sablo-limoneux,arachide
6.21,26.46,20.42,110.47,27.1,sableux,mil
6.2,37.94,17.82,87.11,14.99,sablo-argileux,niebe
5.09,53.36,30.63,99.41,31.56,limoneux,riz
5.08,61.62,32.61,69.0,33.06,argileux,riz
6.68,34.29,32.81,43.7,17.12,sablo-limoneux,arachide
5.92,42.16,25.31,136.05,51.15,argileux,riz
5.56,33.0,11.35,88.36,19.43,sableux,mil
6.49,49.67,28.53,71.56,20.0,sablo-argileux,sorgho
6.43,46.55,37.12,142.64,31.81,limoneux,riz
5.8,48.11,28.43,112.91,10.92,sablo-argileux,mil
6.47,23.12,24.2,112.41,18.56,sablo-argileux,mil
7.0,32.46,11.05,98.85,24.89,sablo-argileux,niebe
6.64,40.44,18.85,110.74,28.21,limono-argileux,sorgho
6.39,38.1,12.48,82.03,12.19,sablo-argileux,mil
5.88,36.14,37.48,128.52,19.92,sablo-argileux,sorgho
6.37,31.9,17.36,57.64,27.79,sablo-argileux,mil
7.09,52.79,25.26,111.62,23.03,sablo-argileux,sorgho
5.59,25.07,20.24,94.84,17.26,sableux,mil
7.04,40.2,10.4,73.21,21.82,sableux,niebe
6.8,27.12,23.52,60.24,21.47,sableux,niebe
6.97,49.72,23.26,55.98,21.09,sableux,niebe
5.73,28.22,33.47,58.41,11.84,sablo-limoneux,arachide
5.77,77.11,39.44,119.09,60.69,limoneux,riz
6.4,69.31,49.2,80.04,39.66,limoneux,riz
6.95,25.34,20.75,68.2,21.13,sablo-limoneux,arachide
6.47,22.87,12.89,74.54,21.53,sablo-argileux,niebe
6.46,34.17,19.4,71.91,19.23,sablo-argileux,niebe
6.48,36.9,24.6,100.47,33.01,limono-argileux,sorgho
6.12,35.44,11.36,70.2,14.66,sableux,mil
6.71,33.24,14.66,76.25,25.1,sablo-argileux,mil
6.23,21.94,29.51,86.75,16.73,sablo-limoneux,arachide
6.65,31.37,22.45,59.3,11.64,sablo-limoneux,arachide
5.9,76.7,20.98,149.26,42.84,limoneux,riz
6.49,63.01,29.4,143.23,51.48,argileux,riz
7.02,32.8,19.36,67.72,20.0,limono-argileux,sorgho
6.67,36.02,17.33,83.33,16.26,sablo-argileux,niebe
5.96,30.84,23.39,82.51,11.05,sableux,arachide
6.99,38.56,24.71,82.17,23.64,sableux,mil
7.21,52.31,39.27,78.54,16.3,sablo-argileux,sorgho
7.0,59.05,22.94,88.57,33.02,limono-argileux,sorgho
6.98,21.85,22.76,51.85,12.06,sableux,niebe
6.79,29.33,10.83,82.25,23.65,sablo-argileux,mil
6.82,38.2,15.08,65.3,18.19,sableux,arachide
5.76,49.14,37.3,70.59,53.55,argileux,riz
6.58,36.52,38.33,66.84,20.96,sablo-argileux,sorgho
6.1,60.09,35.92,102.53,38.9,argileux,riz
5.54,15.15,28.1,47.07,11.13,sableux,arachide
6.5,34.56,18.54,63.85,14.27,sablo-argileux,niebe
7.08,39.03,21.98,72.39,30.98,sablo-argileux,sorgho
6.91,40.36,24.13,113.49,11.28,sablo-argileux,mil
6.31,31.02,23.72,80.74,16.01,sableux,niebe
6.73,37.67,38.85,89.15,27.42,limono-argileux,sorgho
6.4,71.12,39.13,107.96,59.84,limoneux,riz
6.12,29.48,15.74,45.42,23.7,sablo-limoneux,arachide
6.31,32.38,18.57,90.01,17.99,sablo-argileux,niebe
5.61,23.8,19.27,58.28,15.81,sableux,arachide
5.99,51.87,19.17,124.02,18.63,sablo-argileux,sorgho
7.1,23.88,13.91,70.06,15.96,sableux,niebe
6.22,21.27,32.94,74.61,16.5,sablo-limoneux,arachide
6.1,43.1,22.24,74.44,14.42,sablo-argileux,mil
6.65,59.98,28.28,64.54,25.67,sablo-argileux,sorgho
6.97,18.79,30.85,82.98,16.26,sablo-limoneux,arachide
6.66,50.14,24.57,62.15,23.78,sablo-argileux,sorgho
6.85,57.6,17.98,94.18,29.66,sablo-argileux,sorgho
6.09,25.76,10.16,83.31,23.06,sablo-argileux,mil
6.48,31.29,15.36,56.38,17.54,sablo-limoneux,arachide
6.07,38.31,13.37,74.43,29.2,sableux,mil
6.2,31.61,17.68,47.78,10.17,sablo-limoneux,arachide
6.21,21.04,14.59,91.13,20.88,sableux,niebe
5.71,16.41,25.38,79.66,14.31,sablo-limoneux,arachide
6.01,34.21,18.39,52.24,23.38,sableux,niebe
5.68,32.99,28.85,81.9,21.53,sablo-limoneux,arachide
5.86,20.56,27.93,93.2,29.93,sablo-argileux,mil
5.14,54.59,33.78,146.0,36.97,argileux,riz
6.69,18.16,17.49,81.93,11.53,sablo-limoneux,arachide
6.24,21.72,28.55,75.97,16.75,sableux,arachide
6.16,28.48,25.54,90.77,11.68,sablo-argileux,mil
5.94,19.63,20.76,81.79,10.1,sableux,arachide
7.02,43.01,36.94,92.13,19.52,sablo-argileux,sorgho
5.5,31.87,27.22,57.6,15.23,sablo-limoneux,arachide
6.76,16.7,16.41,53.46,19.86,sablo-limoneux,arachide
6.53,29.91,24.69,69.48,22.45,sableux,arachide
6.09,39.17,16.22,62.86,22.42,sablo-argileux,niebe
6.79,22.18,21.26,60.4,18.99,sablo-limoneux,arachide
5.73,76.7,24.04,94.04,31.47,limoneux,riz
5.88,32.95,23.5,97.33,17.41,sablo-argileux,mil
6.12,64.52,46.63,142.24,33.5,limoneux,riz
6.02,44.73,16.36,88.57,20.69,sablo-argileux,niebe
6.73,37.67,20.39,51.19,16.01,sablo-argileux,niebe
7.07,46.48,21.71,84.28,20.94,sableux,niebe
6.32,50.12,21.32,60.14,23.57,sablo-argileux,sorgho
5.38,68.42,33.02,93.96,39.24,argileux,riz
5.89,35.12,26.58,101.11,17.32,sablo-argileux,sorgho
5.94,46.42,26.74,91.4,16.2,sablo-argileux,mil
5.67,23.16,21.43,88.71,10.69,sableux,arachide
5.59,27.43,33.96,57.49,22.15,sableux,arachide
6.46,18.67,25.35,75.38,10.64,sableux,arachide
6.42,19.42,17.53,46.21,20.98,sablo-limoneux,arachide
7.2,20.89,20.45,62.81,22.11,sableux,niebe
5.35,42.01,31.22,64.42,36.68,argileux,riz
7.47,55.36,24.46,120.11,23.6,limono-argileux,sorgho
5.25,61.02,39.7,119.65,34.53,limoneux,riz
6.21,38.98,38.03,119.43,30.34,limono-argileux,sorgho
7.02,46.04,22.88,112.0,30.83,limono-argileux,sorgho
6.03,67.53,44.15,70.09,60.98,limoneux,riz
6.25,33.3,22.55,104.0,31.4,limono-argileux,sorgho
5.97,58.85,21.49,70.29,23.98,limono-argileux,sorgho
6.3,61.54,48.93,133.44,67.71,argileux,riz
5.64,26.14,16.77,78.4,22.06,sableux,arachide
6.42,49.88,39.61,129.92,20.51,limono-argileux,sorgho
6.87,25.73,11.14,92.2,16.81,sableux,mil
6.86,23.04,14.03,81.66,12.45,sablo-argileux,niebe
6.85,35.59,24.21,98.48,27.05,limono-argileux,sorgho
5.5,42.12,45.45,87.59,66.38,limoneux,riz
6.94,21.38,17.55,89.67,24.93,sablo-argileux,niebe
6.77,29.37,24.37,67.76,22.47,sablo-argileux,niebe
6.78,31.78,11.4,78.96,10.27,sableux,mil
6.11,58.13,37.34,79.57,27.86,limono-argileux,sorgho
6.1,45.33,28.82,62.32,27.26,sablo-argileux,sorgho
7.05,46.5,11.3,90.19,20.89,sablo-argileux,niebe
6.48,44.69,25.06,113.11,16.54,sablo-argileux,mil
6.39,41.69,23.36,115.85,22.46,sablo-argileux,sorgho
6.53,45.67,22.85,126.55,26.78,sablo-argileux,sorgho
7.21,57.16,17.78,104.9,25.18,limono-argileux,sorgho
6.97,17.65,22.81,71.95,12.72,sablo-limoneux,arachide
5.2,63.96,41.72,88.09,53.63,argileux,riz
5.51,69.72,41.7,70.19,67.6,limoneux,riz
6.88,18.44,15.55,82.87,23.94,sableux,arachide
7.1,46.82,18.21,91.2,28.68,limono-argileux,sorgho
6.21,56.21,15.7,119.01,18.67,limono-argileux,sorgho
6.61,30.73,17.25,83.49,11.03,sableux,arachide
5.24,50.56,44.83,144.06,55.45,argileux,riz
6.88,31.93,27.82,43.87,24.1,sablo-limoneux,arachide
5.73,32.56,24.6,71.46,16.62,sableux,mil
6.33,23.93,19.96,84.17,22.22,sableux,niebe
5.72,35.44,25.82,69.68,23.09,sablo-argileux,mil
6.77,21.66,26.57,80.89,21.59,sableux,arachide
6.59,22.64,25.8,64.64,18.84,sableux,mil
6.57,32.96,18.38,85.09,16.05,sableux,niebe
6.09,39.94,39.1,113.18,27.87,sablo-argileux,sorgho
6.45,37.12,14.24,65.61,23.97,sableux,niebe
6.28,44.41,19.21,101.37,13.31,sableux,mil
6.83,34.42,20.93,52.59,20.37,sablo-argileux,niebe
6.15,19.56,25.06,78.14,16.45,sableux,arachide
6.73,28.86,20.34,50.84,16.62,sableux,niebe
6.51,56.37,38.24,120.88,15.33,limono-argileux,sorgho
5.63,16.03,22.78,68.88,15.63,sablo-limoneux,arachide
6.04,49.91,17.86,81.33,17.07,sablo-argileux,niebe
5.9,47.42,38.26,74.05,19.22,limono-argileux,sorgho
6.31,25.38,14.32,98.2,17.22,sablo-argileux,niebe
5.55,41.63,28.4,52.09,12.59,sablo-argileux,mil
6.8,44.13,24.08,66.18,15.1,sablo-argileux,niebe
7.14,42.9,17.93,70.28,15.17,sableux,niebe
6.66,39.48,23.8,57.42,12.71,sableux,niebe
7.14,49.65,23.68,73.18,21.54,sablo-argileux,niebe
5.58,30.97,24.18,99.0,21.48,sablo-argileux,mil
6.53,25.54,16.09,67.42,11.29,sableux,arachide
5.88,56.23,27.95,87.67,28.39,sablo-argileux,sorgho
5.03,43.41,28.25,99.08,33.99,limoneux,riz
6.8,48.38,12.97,89.81,14.8,sableux,niebe
6.98,41.18,17.74,57.88,13.45,sableux,niebe
6.42,68.79,47.56,135.94,63.44,argileux,riz
6.74,39.87,14.8,70.4,18.98,sableux,niebe
7.02,28.9,22.83,71.16,23.25,sablo-argileux,niebe
6.66,33.53,23.98,52.39,12.1,sableux,mil
5.97,50.7,33.92,99.02,17.02,sablo-argileux,sorgho
5.72,56.33,24.67,134.03,63.27,limoneux,riz
6.86,43.95,14.89,91.77,15.4,sablo-argileux,niebe
5.75,31.22,28.68,115.91,29.43,sablo-argileux,mil
5.51,15.98,19.47,78.25,10.67,sableux,arachide
5.87,31.76,24.49,85.89,11.41,sableux,arachide
5.35,68.3,47.63,127.46,65.6,argileux,riz
5.3,44.4,32.14,120.17,37.39,argileux,riz
6.93,40.19,16.32,85.53,22.32,sableux,niebe
6.72,23.74,23.27,84.81,23.63,sableux,arachide
6.74,24.44,23.04,81.0,28.94,sablo-argileux,mil
6.59,37.75,36.64,110.12,34.67,sablo-argileux,sorgho
6.48,42.56,17.09,67.22,25.05,sablo-argileux,mil
5.9,79.49,20.53,132.64,30.17,argileux,riz
6.59,29.1,27.96,109.36,23.57,sableux,mil
6.59,49.0,27.15,107.64,25.85,limono-argileux,sorgho
6.16,39.88,24.68,105.22,24.86,sablo-argileux,mil
6.7,25.01,24.74,87.0,22.51,sableux,niebe
6.75,19.86,27.25,70.06,20.5,sableux,arachide
6.43,31.96,17.9,81.16,18.78,sablo-limoneux,arachide
5.91,42.25,22.38,110.7,26.6,sablo-argileux,mil
5.91,52.09,18.28,73.39,25.97,limono-argileux,sorgho
5.65,22.32,14.3,116.29,26.2,sableux,mil
5.31,43.56,38.92,112.33,38.61,argileux,riz
5.87,27.55,13.16,84.31,21.82,sablo-argileux,mil
5.56,72.89,24.27,65.93,50.89,limoneux,riz
6.23,59.42,39.13,107.73,19.83,limono-argileux,sorgho
5.92,25.21,18.72,103.29,14.0,sableux,mil
5.87,27.81,21.17,65.72,12.94,sableux,arachide
5.81,53.93,19.31,61.26,26.39,limono-argileux,sorgho
5.52,32.57,23.81,73.25,18.46,sableux,mil
6.42,48.49,31.12,83.12,35.96,limoneux,riz
7.19,48.0,15.04,92.79,15.11,sableux,niebe
6.84,27.04,33.27,79.53,13.33,sablo-limoneux,arachide
7.3,50.41,26.56,62.52,28.59,limono-argileux,sorgho
5.91,37.35,16.77,66.91,16.15,sableux,arachide
5.72,30.08,14.24,50.07,24.81,sableux,mil
6.86,18.72,34.51,43.6,21.65,sableux,arachide
5.94,27.4,19.16,51.32,23.86,sablo-argileux,mil
5.66,22.67,20.61,117.2,28.1,sablo-argileux,mil
5.76,25.38,28.03,69.9,11.38,sablo-limoneux,arachide
6.75,38.84,19.62,56.57,22.31,sablo-limoneux,arachide
6.72,53.46,20.55,121.87,17.81,sablo-argileux,sorgho
5.77,35.31,25.51,84.15,25.82,sableux,mil
6.66,33.63,23.84,64.05,17.0,sableux,niebe
7.33,37.74,37.3,121.93,24.03,limono-argileux,sorgho
