culture,pH,rainfall_mm,temperature_C
Niébé (Cowpea),6.44,469.2,30.9
Maïs (Maize),6.41,838.2,25.4
Riz pluvial (Rainfed Rice),5.59,661.1,28.4
Maïs (Maize),6.45,578.9,26.2
Arachide (Groundnut),6.02,885.0,29.1
Patate douce (Sweet Potato),5.93,889.5,22.1
Riz pluvial (Rainfed Rice),5.8,601.1,26.9
Gombo (Okra),6.77,611.1,25.1
Mil (Pearl Millet),5.96,639.8,37.2
Patate douce (Sweet Potato),6.07,775.9,27.8
Sorgho (Sorghum),6.93,602.4,25.4
Mil (Pearl Millet),5.48,682.0,32.5
Niébé (Cowpea),5.72,423.4,33.3
Riz pluvial (Rainfed Rice),6.14,624.3,26.6
Gombo (Okra),6.48,741.0,25.1
Sésame (Sesame),6.5,621.6,25.6
Riz pluvial (Rainfed Rice),5.89,640.2,31.5
Riz pluvial (Rainfed Rice),6.1,699.4,29.0
Niébé (Cowpea),5.59,439.6,30.6
Patate douce (Sweet Potato),5.95,789.6,25.3
Arachide (Groundnut),6.16,635.2,25.0
Maïs (Maize),6.1,693.4,25.4
Maïs (Maize),6.31,730.3,31.3
Manioc (Cassava),5.62,1342.3,26.0
Niébé (Cowpea),6.0,411.5,32.1
Manioc (Cassava),6.4,1244.7,26.9
Mil (Pearl Millet),5.38,870.2,37.7
Sésame (Sesame),6.4,509.6,26.0
Sorgho (Sorghum),7.28,618.1,29.3
Niébé (Cowpea),6.48,557.0,28.8
Manioc (Cassava),6.71,1381.4,26.8
Gombo (Okra),6.27,771.0,34.8
Maïs (Maize),6.31,866.5,24.5
Riz pluvial (Rainfed Rice),5.71,697.9,27.2
Riz pluvial (Rainfed Rice),5.86,603.5,28.7
Manioc (Cassava),6.59,1056.3,30.4
Patate douce (Sweet Potato),6.03,989.4,22.5
Niébé (Cowpea),5.8,427.8,34.0
Sorgho (Sorghum),6.65,539.7,30.8
Riz pluvial (Rainfed Rice),5.83,635.4,24.6
Patate douce (Sweet Potato),5.83,886.6,26.4
Sésame (Sesame),6.4,667.9,29.9
Sésame (Sesame),6.83,598.3,32.7
Patate douce (Sweet Potato),6.08,867.4,24.8
Riz pluvial (Rainfed Rice),6.05,630.3,29.5
Riz pluvial (Rainfed Rice),6.49,689.7,27.3
Riz pluvial (Rainfed Rice),6.08,673.5,29.8
Gombo (Okra),6.67,635.0,24.2
Sésame (Sesame),6.51,663.8,26.2
Maïs (Maize),6.2,837.7,29.4
Gombo (Okra),5.92,843.0,22.4
Riz pluvial (Rainfed Rice),6.3,660.0,24.8
Gombo (Okra),6.21,742.6,32.2
Gombo (Okra),6.7,753.7,29.5
Sésame (Sesame),6.91,423.8,28.1
Niébé (Cowpea),6.27,586.2,32.8
Arachide (Groundnut),5.95,739.5,28.4
Mil (Pearl Millet),5.61,565.3,34.4
Mil (Pearl Millet),5.43,867.3,32.8
Maïs (Maize),6.4,887.1,28.5
Mil (Pearl Millet),5.75,506.2,39.4
Maïs (Maize),6.21,806.7,30.3
Sésame (Sesame),6.86,409.5,31.8
Niébé (Cowpea),6.33,554.1,27.6
Sorgho (Sorghum),6.7,506.2,31.5
Mil (Pearl Millet),5.27,713.8,30.7
Sorgho (Sorghum),6.74,643.5,29.6
Mil (Pearl Millet),5.78,505.2,36.8
Arachide (Groundnut),6.01,893.5,22.3
Arachide (Groundnut),6.17,863.2,23.9
Maïs (Maize),6.36,872.9,20.7
Sésame (Sesame),6.7,442.8,26.5
Manioc (Cassava),6.77,1385.4,28.3
Niébé (Cowpea),5.59,558.2,29.0
Gombo (Okra),5.94,834.4,29.0
Manioc (Cassava),5.62,1415.9,33.7
Sorgho (Sorghum),6.11,508.5,29.7
Patate douce (Sweet Potato),6.03,827.4,27.8
Arachide (Groundnut),5.91,894.3,25.3
Mil (Pearl Millet),5.41,750.8,35.6
Maïs (Maize),6.22,597.2,30.1
Patate douce (Sweet Potato),6.11,1087.6,23.6
Mil (Pearl Millet),5.82,658.9,33.2
Niébé (Cowpea),5.89,414.8,33.7
Maïs (Maize),6.17,737.3,24.5
Maïs (Maize),6.33,599.7,23.0
Arachide (Groundnut),6.08,614.5,22.3
Mil (Pearl Millet),5.57,712.0,33.8
Sésame (Sesame),6.62,627.8,34.9
Mil (Pearl Millet),5.63,591.7,39.2
Gombo (Okra),6.71,893.9,30.4
Sésame (Sesame),6.84,543.2,31.3
Patate douce (Sweet Potato),5.95,1058.5,22.1
Sésame (Sesame),6.27,685.7,26.3
Gombo (Okra),6.03,820.2,28.6
Maïs (Maize),6.23,543.5,24.8
Gombo (Okra),6.3,687.1,32.9
Niébé (Cowpea),5.52,587.5,26.6
Sorgho (Sorghum),6.57,600.5,31.4
Niébé (Cowpea),5.71,576.4,33.5
Manioc (Cassava),6.81,1343.5,29.4
Arachide (Groundnut),5.81,550.1,28.5
Sésame (Sesame),6.59,498.4,34.4
Maïs (Maize),6.25,532.4,29.5
Gombo (Okra),6.22,681.0,27.1
Maïs (Maize),6.44,847.4,26.9
Gombo (Okra),6.26,648.0,23.1
Arachide (Groundnut),6.09,551.4,26.2
Riz pluvial (Rainfed Rice),5.72,668.0,27.1
Niébé (Cowpea),5.81,468.6,27.3
Sésame (Sesame),6.62,650.4,25.2
Sorgho (Sorghum),6.74,598.4,31.9
Gombo (Okra),6.65,884.1,31.2
Mil (Pearl Millet),5.42,504.9,32.6
Gombo (Okra),6.67,685.6,25.0
Manioc (Cassava),5.61,1208.2,28.6
Niébé (Cowpea),5.66,402.6,25.7
Patate douce (Sweet Potato),6.04,1001.1,24.7
Manioc (Cassava),6.05,1163.7,27.2
Gombo (Okra),6.33,848.7,25.4
Maïs (Maize),6.4,804.9,26.5
Manioc (Cassava),5.88,1296.4,30.3
Maïs (Maize),6.18,815.6,24.1
Maïs (Maize),6.29,601.4,21.3
Sorgho (Sorghum),6.7,530.0,28.2
Sésame (Sesame),6.24,548.8,26.2
Gombo (Okra),6.22,670.0,28.9
Arachide (Groundnut),5.93,549.2,28.5
Sésame (Sesame),6.38,696.8,28.5
Sorgho (Sorghum),7.32,469.5,26.6
Maïs (Maize),6.32,761.5,25.5
Patate douce (Sweet Potato),6.02,861.3,25.7
Patate douce (Sweet Potato),5.93,1083.7,24.3
Maïs (Maize),6.16,605.5,31.3
Sorgho (Sorghum),7.2,454.3,31.1
Mil (Pearl Millet),5.4,695.5,32.9
Riz pluvial (Rainfed Rice),5.92,604.4,28.1
Arachide (Groundnut),5.95,621.6,27.6
Gombo (Okra),5.89,725.4,28.1
Arachide (Groundnut),6.07,890.4,28.1
Gombo (Okra),6.75,692.2,32.4
Riz pluvial (Rainfed Rice),5.51,656.2,26.2
Gombo (Okra),6.67,644.6,22.3
Niébé (Cowpea),6.37,374.0,32.6
Arachide (Groundnut),6.18,524.8,26.3
Sorgho (Sorghum),7.13,504.5,31.2
Arachide (Groundnut),5.99,708.4,25.2
Manioc (Cassava),6.77,1060.2,32.5
Mil (Pearl Millet),5.24,879.7,31.8
Arachide (Groundnut),6.05,821.4,22.4
Maïs (Maize),6.17,773.7,21.7
Sésame (Sesame),6.43,431.4,26.8
Maïs (Maize),6.39,836.2,28.6
Niébé (Cowpea),6.22,452.7,25.5
Mil (Pearl Millet),6.0,726.8,33.9
Arachide (Groundnut),6.1,531.2,22.5
Riz pluvial (Rainfed Rice),5.81,621.6,27.4
Patate douce (Sweet Potato),5.8,1040.2,25.2
Patate douce (Sweet Potato),5.96,848.9,21.7
Patate douce (Sweet Potato),5.97,1010.2,28.9
Gombo (Okra),6.52,729.2,31.5
Manioc (Cassava),6.28,1231.8,27.7
Sésame (Sesame),6.26,488.7,29.5
Niébé (Cowpea),5.86,497.6,32.2
Riz pluvial (Rainfed Rice),5.76,660.4,31.3
Manioc (Cassava),5.87,1436.0,25.5
Riz pluvial (Rainfed Rice),6.28,645.4,30.4
Niébé (Cowpea),6.42,476.7,31.0
Niébé (Cowpea),5.98,408.6,34.6
Niébé (Cowpea),6.08,585.4,30.3
Manioc (Cassava),5.6,1294.9,25.5
Sésame (Sesame),6.53,652.8,27.4
Sorgho (Sorghum),7.24,544.7,34.2
Patate douce (Sweet Potato),6.04,892.5,22.5
Patate douce (Sweet Potato),5.84,902.1,24.2
Niébé (Cowpea),5.96,423.3,25.4
Riz pluvial (Rainfed Rice),6.01,655.6,27.3
Sorgho (Sorghum),6.19,540.0,33.9
Maïs (Maize),6.16,518.8,32.2
Niébé (Cowpea),6.26,576.6,26.4
Gombo (Okra),6.16,728.2,20.8
Sorgho (Sorghum),6.02,494.9,29.2
Manioc (Cassava),6.33,1277.5,29.0
Manioc (Cassava),6.22,1287.7,32.4
Riz pluvial (Rainfed Rice),5.58,601.8,29.3
Riz pluvial (Rainfed Rice),6.25,676.0,26.5
Arachide (Groundnut),5.98,704.3,26.9
Manioc (Cassava),5.7,1183.6,32.0
Maïs (Maize),6.45,638.8,32.0
Arachide (Groundnut),5.82,537.8,21.1
Gombo (Okra),5.86,869.5,27.1
Sésame (Sesame),6.81,456.8,27.6
Sésame (Sesame),6.87,547.8,26.0
Arachide (Groundnut),5.82,705.3,27.8
Mil (Pearl Millet),5.4,860.5,35.5
Gombo (Okra),6.51,825.8,26.6
Sésame (Sesame),6.72,523.5,33.2
Gombo (Okra),6.6,726.2,25.1
Sorgho (Sorghum),6.03,410.6,30.2
Gombo (Okra),6.67,623.7,24.2
Riz pluvial (Rainfed Rice),5.75,618.7,31.6
Maïs (Maize),6.32,813.5,25.8
Maïs (Maize),6.25,547.5,22.7
Riz pluvial (Rainfed Rice),5.95,674.1,28.5
Sésame (Sesame),6.34,656.3,30.8
Niébé (Cowpea),5.6,591.1,31.2
Niébé (Cowpea),5.62,442.5,27.4
Maïs (Maize),6.06,540.0,29.1
Maïs (Maize),6.19,702.7,27.5
Sorgho (Sorghum),6.39,423.6,28.4
Niébé (Cowpea),6.48,567.9,26.3
Arachide (Groundnut),5.92,724.0,24.6
Sésame (Sesame),6.62,451.5,27.2
Mil (Pearl Millet),5.48,668.8,40.0
Sésame (Sesame),6.48,562.4,25.1
Niébé (Cowpea),6.21,462.4,27.6
Mil (Pearl Millet),5.89,605.8,33.8
Manioc (Cassava),6.8,1339.8,32.0
Niébé (Cowpea),6.26,555.2,28.3
Arachide (Groundnut),6.06,579.1,22.4
Gombo (Okra),5.92,778.6,28.0
Sésame (Sesame),6.84,509.4,33.0
Patate douce (Sweet Potato),6.15,1001.5,28.6
Mil (Pearl Millet),5.41,724.7,35.9
Riz pluvial (Rainfed Rice),5.98,677.0,26.3
Patate douce (Sweet Potato),5.86,1052.5,24.3
Mil (Pearl Millet),5.98,719.1,39.5
Niébé (Cowpea),6.04,543.9,32.3
Arachide (Groundnut),6.1,630.2,25.3
Gombo (Okra),6.37,770.2,27.0
Patate douce (Sweet Potato),6.15,807.9,28.3
Patate douce (Sweet Potato),5.94,1042.0,23.4
Sésame (Sesame),6.76,431.8,31.6
Niébé (Cowpea),5.96,419.9,26.8
Sésame (Sesame),6.77,553.0,33.2
Sésame (Sesame),6.19,623.1,28.2
Manioc (Cassava),5.77,1293.3,28.2
Niébé (Cowpea),6.18,451.7,29.5
Mil (Pearl Millet),5.8,748.2,31.0
Arachide (Groundnut),6.16,554.9,27.9
Sorgho (Sorghum),6.21,642.1,33.9
Sésame (Sesame),6.46,535.1,29.9
Maïs (Maize),6.21,898.2,21.6
Manioc (Cassava),6.11,1390.9,26.7
Arachide (Groundnut),6.06,765.6,27.9
Manioc (Cassava),6.71,1083.6,27.1
Patate douce (Sweet Potato),5.85,832.2,27.5
Sésame (Sesame),6.35,559.8,31.3
Manioc (Cassava),6.82,1175.1,33.1
Niébé (Cowpea),6.1,532.6,28.5
Riz pluvial (Rainfed Rice),5.79,661.5,32.0
Mil (Pearl Millet),5.56,867.1,39.3
Mil (Pearl Millet),5.9,820.0,36.4
Niébé (Cowpea),5.73,495.2,29.4
Sésame (Sesame),6.53,543.1,29.4
Arachide (Groundnut),5.93,506.0,27.8
Mil (Pearl Millet),5.88,655.1,33.6
Gombo (Okra),5.96,877.8,34.4
Arachide (Groundnut),6.07,519.9,21.1
Gombo (Okra),6.67,699.4,27.4
Sésame (Sesame),6.66,654.6,26.2
Patate douce (Sweet Potato),6.02,1043.3,22.6
Gombo (Okra),5.98,699.2,33.9
Sésame (Sesame),6.12,401.9,30.3
Gombo (Okra),6.44,729.9,29.9
Sésame (Sesame),6.48,421.7,31.6
Maïs (Maize),6.36,565.8,31.4
Riz pluvial (Rainfed Rice),5.57,679.3,28.5
Sorgho (Sorghum),7.16,583.4,30.4
Maïs (Maize),6.29,725.7,31.9
Niébé (Cowpea),5.58,581.5,33.3
Sorgho (Sorghum),6.43,440.7,27.6
Patate douce (Sweet Potato),5.9,845.9,26.8
Maïs (Maize),6.45,705.6,30.6
Riz pluvial (Rainfed Rice),6.49,640.0,27.1
Niébé (Cowpea),5.97,391.1,28.3
Niébé (Cowpea),5.85,519.5,30.6
Maïs (Maize),6.2,588.4,32.5
Riz pluvial (Rainfed Rice),6.27,699.2,31.2
Gombo (Okra),5.89,884.3,31.3
Mil (Pearl Millet),5.73,826.8,34.4
Riz pluvial (Rainfed Rice),5.93,655.0,24.2
Patate douce (Sweet Potato),6.11,770.6,23.0
Maïs (Maize),6.27,884.6,31.0
Mil (Pearl Millet),5.97,704.3,30.7
Sésame (Sesame),6.34,592.2,27.5
Patate douce (Sweet Potato),6.14,959.0,28.1
Gombo (Okra),6.32,780.4,27.5
Maïs (Maize),6.37,624.6,28.1
Sésame (Sesame),6.82,582.3,25.1
Patate douce (Sweet Potato),6.07,1082.0,23.9
Patate douce (Sweet Potato),5.97,1051.4,29.4
Maïs (Maize),6.38,895.2,29.7
Maïs (Maize),6.3,751.3,20.9
Sésame (Sesame),6.66,538.0,33.2
Niébé (Cowpea),5.6,533.8,26.1
Niébé (Cowpea),5.78,527.5,28.5
Maïs (Maize),6.32,759.6,22.7
Gombo (Okra),6.47,633.4,30.3
Riz pluvial (Rainfed Rice),5.98,626.1,24.6
Manioc (Cassava),5.66,1171.0,34.7
Arachide (Groundnut),5.8,740.5,27.7
Arachide (Groundnut),6.02,799.9,28.9
Manioc (Cassava),6.91,1013.7,33.5
Arachide (Groundnut),5.89,610.4,27.1
Mil (Pearl Millet),5.26,717.0,36.0
Mil (Pearl Millet),5.87,613.2,36.7
Maïs (Maize),6.03,694.7,23.4
Mil (Pearl Millet),5.99,539.7,37.0
Arachide (Groundnut),6.01,882.6,27.3
Arachide (Groundnut),5.83,821.2,29.7
Arachide (Groundnut),5.93,522.9,25.7
Manioc (Cassava),6.04,1307.5,26.4
Niébé (Cowpea),5.51,432.0,31.7
Niébé (Cowpea),6.32,569.2,33.5
Manioc (Cassava),6.56,1170.2,33.4
Patate douce (Sweet Potato),5.92,916.8,23.2
Patate douce (Sweet Potato),5.86,878.6,28.1
Sorgho (Sorghum),6.83,430.3,27.5
Niébé (Cowpea),6.11,448.1,32.6
Maïs (Maize),6.44,563.9,23.2
Arachide (Groundnut),6.06,642.9,21.6
Mil (Pearl Millet),5.66,674.7,34.4
Riz pluvial (Rainfed Rice),5.55,681.1,27.4
Sorgho (Sorghum),7.36,610.8,29.6
Maïs (Maize),6.43,788.3,32.7
Riz pluvial (Rainfed Rice),6.45,661.2,27.4
Manioc (Cassava),6.85,1337.3,34.1
Niébé (Cowpea),6.31,403.3,27.9
Manioc (Cassava),6.3,1142.5,28.7
Manioc (Cassava),6.16,1455.1,26.5
Manioc (Cassava),6.87,1212.2,27.8
Niébé (Cowpea),5.94,517.6,25.0
Maïs (Maize),6.09,759.5,27.4
Sésame (Sesame),6.19,426.1,32.0
Riz pluvial (Rainfed Rice),6.39,666.4,25.8
Sésame (Sesame),6.25,401.2,27.4
Riz pluvial (Rainfed Rice),5.72,618.4,28.7
Niébé (Cowpea),6.46,598.8,25.5
Sésame (Sesame),6.26,678.6,31.4
Maïs (Maize),6.31,645.5,28.8
Niébé (Cowpea),6.24,489.3,33.9
Riz pluvial (Rainfed Rice),6.44,695.5,30.4
Sorgho (Sorghum),6.54,524.0,31.2
Riz pluvial (Rainfed Rice),5.54,679.5,29.4
Sorgho (Sorghum),6.37,579.8,30.9
Maïs (Maize),6.17,533.5,25.4
Niébé (Cowpea),5.64,515.6,30.3
Manioc (Cassava),6.08,1421.2,31.5
Patate douce (Sweet Potato),5.87,775.9,23.3
Mil (Pearl Millet),5.29,557.7,38.5
Niébé (Cowpea),5.69,356.5,27.8
Sorgho (Sorghum),6.95,589.6,34.7
Arachide (Groundnut),6.01,573.3,21.1
Niébé (Cowpea),5.82,531.5,26.7
Mil (Pearl Millet),5.36,512.8,31.7
Riz pluvial (Rainfed Rice),5.57,627.9,25.9
Riz pluvial (Rainfed Rice),5.79,621.8,28.0
Sésame (Sesame),6.62,618.0,32.5
Sorgho (Sorghum),6.85,647.4,28.7
Arachide (Groundnut),5.84,682.0,29.9
Maïs (Maize),6.03,523.6,28.4
Gombo (Okra),6.31,629.7,24.6
Maïs (Maize),6.45,862.5,23.2
Riz pluvial (Rainfed Rice),5.96,603.2,28.9
Manioc (Cassava),5.52,1207.3,33.6
Niébé (Cowpea),5.58,560.8,31.9
Manioc (Cassava),6.51,1455.2,33.1
Sésame (Sesame),6.76,576.3,28.9
Niébé (Cowpea),5.91,530.1,32.8
Riz pluvial (Rainfed Rice),6.13,609.9,25.2
Niébé (Cowpea),6.22,493.3,26.5
Mil (Pearl Millet),5.45,879.7,32.5
Gombo (Okra),6.59,888.3,31.6
Mil (Pearl Millet),5.33,551.3,34.3
Sorgho (Sorghum),6.34,402.8,29.3
Patate douce (Sweet Potato),6.0,1096.6,23.2
Sorgho (Sorghum),7.14,471.2,33.7
Riz pluvial (Rainfed Rice),6.09,688.7,28.7
Sésame (Sesame),6.95,604.9,32.6
Niébé (Cowpea),6.26,362.1,29.2
Riz pluvial (Rainfed Rice),5.72,643.3,27.7
Arachide (Groundnut),5.99,732.8,23.1
Patate douce (Sweet Potato),5.89,1035.8,25.5
Arachide (Groundnut),6.17,770.0,29.1
Gombo (Okra),6.03,879.3,20.8
Niébé (Cowpea),5.67,405.0,30.1
Riz pluvial (Rainfed Rice),5.83,620.2,31.4
Niébé (Cowpea),6.43,520.2,31.7
Maïs (Maize),6.31,585.9,20.7
Niébé (Cowpea),5.84,567.4,29.3
Gombo (Okra),6.34,890.1,28.4
Riz pluvial (Rainfed Rice),5.83,653.6,29.8
Patate douce (Sweet Potato),6.13,781.8,22.1
Gombo (Okra),6.11,684.9,25.9
Arachide (Groundnut),5.89,790.3,27.9
Patate douce (Sweet Potato),5.85,901.0,22.8
Patate douce (Sweet Potato),6.16,964.7,29.5
Manioc (Cassava),6.49,1355.7,26.9
Manioc (Cassava),6.03,1408.9,30.8
Sésame (Sesame),6.61,621.0,30.2
Gombo (Okra),5.92,864.8,33.0
Gombo (Okra),6.63,883.7,22.4
Niébé (Cowpea),6.27,412.1,34.2
Niébé (Cowpea),5.66,426.0,32.5
Gombo (Okra),6.58,629.1,24.9
Mil (Pearl Millet),6.0,769.7,37.1
Mil (Pearl Millet),5.57,602.4,38.2
Gombo (Okra),6.06,722.6,30.5
Arachide (Groundnut),6.15,634.0,23.0
Maïs (Maize),6.19,616.6,21.1
Manioc (Cassava),5.97,1241.2,25.4
Sorgho (Sorghum),7.04,548.6,28.3
Maïs (Maize),6.31,605.3,23.2
Patate douce (Sweet Potato),6.19,842.6,21.4
Patate douce (Sweet Potato),5.82,1011.1,28.9
Gombo (Okra),6.25,680.3,31.4
Mil (Pearl Millet),5.4,649.4,38.5
Arachide (Groundnut),6.08,858.5,26.1
Riz pluvial (Rainfed Rice),6.29,637.4,28.9
Arachide (Groundnut),5.98,659.4,23.7
Sésame (Sesame),6.62,625.4,32.1
Sorgho (Sorghum),7.19,591.4,29.3
Sorgho (Sorghum),7.34,550.3,25.3
Maïs (Maize),6.22,779.4,30.6
Sésame (Sesame),6.58,444.9,27.6
Patate douce (Sweet Potato),5.89,901.4,28.4
Sorgho (Sorghum),6.03,488.2,33.4
Gombo (Okra),6.24,871.2,24.3
Arachide (Groundnut),6.11,870.6,23.8
Patate douce (Sweet Potato),6.15,967.6,22.2
Riz pluvial (Rainfed Rice),5.76,679.3,26.0
Manioc (Cassava),6.25,1284.8,29.1
Mil (Pearl Millet),5.33,622.3,31.0
Riz pluvial (Rainfed Rice),6.32,656.7,26.6
Arachide (Groundnut),6.06,525.9,21.4
Arachide (Groundnut),5.95,839.2,25.4
Sorgho (Sorghum),7.32,508.0,27.3
Gombo (Okra),6.28,817.3,30.6
Mil (Pearl Millet),5.6,625.2,31.7
Niébé (Cowpea),6.39,459.2,25.2
Manioc (Cassava),6.08,1003.8,25.1
Mil (Pearl Millet),5.92,691.1,36.0
Riz pluvial (Rainfed Rice),5.98,663.6,30.6
Sésame (Sesame),6.3,678.0,33.2
Sorgho (Sorghum),6.31,510.4,26.9
Riz pluvial (Rainfed Rice),5.92,646.1,24.9
Manioc (Cassava),6.46,1430.8,29.4
Patate douce (Sweet Potato),5.86,887.0,22.5
Sorgho (Sorghum),7.25,641.2,32.5
Sésame (Sesame),6.37,525.5,27.8
Sésame (Sesame),6.22,633.4,28.8
Arachide (Groundnut),5.87,721.1,23.4
Patate douce (Sweet Potato),6.0,866.4,29.9
Sorgho (Sorghum),7.11,610.9,34.1
Arachide (Groundnut),5.96,772.8,29.9
Manioc (Cassava),5.92,1079.7,30.3
Manioc (Cassava),6.17,1246.3,29.1
Patate douce (Sweet Potato),6.01,997.9,29.3
Maïs (Maize),6.31,818.0,28.3
Sorgho (Sorghum),6.03,410.9,29.9
Arachide (Groundnut),5.91,656.0,26.6
Sorgho (Sorghum),6.31,459.7,27.1
Gombo (Okra),5.86,754.1,34.4
Patate douce (Sweet Potato),5.82,768.5,21.7
Niébé (Cowpea),6.39,494.1,32.6
Patate douce (Sweet Potato),6.15,761.8,29.4
Patate douce (Sweet Potato),6.1,778.6,27.9
Sorgho (Sorghum),6.69,601.6,26.0
Gombo (Okra),6.35,776.3,20.6
Niébé (Cowpea),6.2,364.7,29.9
Riz pluvial (Rainfed Rice),5.91,647.6,27.1
Sorgho (Sorghum),6.11,547.1,29.8
Manioc (Cassava),5.88,1144.3,26.3
Riz pluvial (Rainfed Rice),5.79,626.5,26.6
Maïs (Maize),6.44,554.8,31.1
Riz pluvial (Rainfed Rice),6.09,621.5,26.7
Riz pluvial (Rainfed Rice),5.93,693.0,27.4
Sorgho (Sorghum),6.34,448.5,31.0
Niébé (Cowpea),5.73,540.7,32.1
Riz pluvial (Rainfed Rice),5.76,686.7,30.6
Maïs (Maize),6.28,552.2,32.8
Gombo (Okra),6.43,724.9,22.8
Gombo (Okra),6.24,891.3,34.8
Niébé (Cowpea),6.28,361.0,34.0
Arachide (Groundnut),5.81,797.4,21.2
Riz pluvial (Rainfed Rice),6.32,666.7,29.1
Arachide (Groundnut),5.99,571.4,24.9
Riz pluvial (Rainfed Rice),5.72,658.4,28.0
Manioc (Cassava),6.76,1224.6,28.4
Arachide (Groundnut),5.84,810.4,24.0
Arachide (Groundnut),6.06,701.9,22.8
Manioc (Cassava),6.82,1352.2,31.8
Gombo (Okra),6.07,814.0,27.8
Manioc (Cassava),5.51,1367.2,27.0
Sésame (Sesame),6.91,601.3,29.3
Patate douce (Sweet Potato),5.93,964.6,23.6
Patate douce (Sweet Potato),6.0,910.6,25.2
Arachide (Groundnut),5.89,793.4,26.1
Sorgho (Sorghum),7.17,592.3,33.7
Gombo (Okra),5.98,728.9,30.4
Riz pluvial (Rainfed Rice),5.82,696.6,27.9
Sorgho (Sorghum),6.75,639.1,27.6
Sorgho (Sorghum),6.81,413.6,25.8
Riz pluvial (Rainfed Rice),6.12,645.2,28.4
Patate douce (Sweet Potato),6.08,883.1,27.4
Patate douce (Sweet Potato),6.13,976.8,24.6
Manioc (Cassava),6.49,1288.9,34.4
Maïs (Maize),6.07,609.0,26.9
Niébé (Cowpea),5.84,565.4,31.1
Sorgho (Sorghum),6.88,630.0,29.9
Sorgho (Sorghum),7.07,559.0,31.9
Patate douce (Sweet Potato),6.19,820.7,23.6
Mil (Pearl Millet),5.42,531.4,30.9
Manioc (Cassava),5.77,1235.7,26.1
Manioc (Cassava),6.13,1278.9,32.4
Niébé (Cowpea),5.69,422.9,34.0
Mil (Pearl Millet),5.52,863.9,35.3
Patate douce (Sweet Potato),6.11,985.5,28.0
Riz pluvial (Rainfed Rice),6.44,687.5,30.2
Sésame (Sesame),6.22,484.0,29.5
Manioc (Cassava),5.85,1025.0,27.0
Riz pluvial (Rainfed Rice),6.26,611.3,31.5
Niébé (Cowpea),6.08,429.0,26.7
Maïs (Maize),6.13,882.9,29.4
Arachide (Groundnut),5.88,512.4,28.8
Gombo (Okra),6.67,775.8,26.7
Patate douce (Sweet Potato),5.85,1013.9,21.5
Maïs (Maize),6.4,848.9,31.6
Niébé (Cowpea),5.86,551.9,29.0
Maïs (Maize),6.34,847.4,32.8
Sorgho (Sorghum),6.55,607.5,29.9
Sorgho (Sorghum),7.08,437.1,26.7
Maïs (Maize),6.12,621.3,23.2
Riz pluvial (Rainfed Rice),5.81,631.3,28.8
Riz pluvial (Rainfed Rice),5.73,691.0,27.4
Maïs (Maize),6.18,826.8,27.6
Mil (Pearl Millet),5.89,893.4,36.7
Sorgho (Sorghum),6.97,556.6,32.6
Mil (Pearl Millet),5.93,674.7,31.7
Gombo (Okra),6.21,896.3,30.8
Patate douce (Sweet Potato),6.16,962.1,24.5
Gombo (Okra),6.08,693.8,26.4
Gombo (Okra),6.55,683.5,22.6
Manioc (Cassava),5.9,1443.7,34.4
Sésame (Sesame),6.34,512.2,32.9
Patate douce (Sweet Potato),6.03,984.0,22.3
Riz pluvial (Rainfed Rice),6.44,673.7,28.1
Manioc (Cassava),5.98,1471.7,33.3
Manioc (Cassava),5.86,1485.0,27.3
Arachide (Groundnut),5.86,538.7,25.6
Sorgho (Sorghum),7.4,566.3,27.3
Gombo (Okra),6.14,748.4,33.1
Sorgho (Sorghum),7.11,551.7,27.6
Patate douce (Sweet Potato),5.93,960.1,28.9
Patate douce (Sweet Potato),6.08,970.7,27.6
Arachide (Groundnut),6.18,677.5,26.8
Sésame (Sesame),6.37,512.5,32.6
Arachide (Groundnut),6.13,739.4,24.5
Niébé (Cowpea),5.89,380.0,25.2
Gombo (Okra),6.54,670.5,26.8
Manioc (Cassava),6.43,1129.4,29.0
Niébé (Cowpea),5.52,447.7,25.0
Sésame (Sesame),6.8,447.5,31.7
Niébé (Cowpea),5.57,406.9,27.2
Gombo (Okra),6.19,778.9,20.1
Maïs (Maize),6.16,892.6,29.7
Mil (Pearl Millet),5.52,719.1,31.5
Sésame (Sesame),6.31,649.2,29.9
Arachide (Groundnut),6.05,678.7,21.5
Patate douce (Sweet Potato),5.93,1001.3,29.6
Manioc (Cassava),5.87,1332.3,31.1
Manioc (Cassava),5.61,1096.6,26.3
Riz pluvial (Rainfed Rice),5.72,603.1,24.9
Sorgho (Sorghum),6.34,520.5,32.4
Maïs (Maize),6.23,695.5,27.9
Maïs (Maize),6.33,643.2,27.0
Mil (Pearl Millet),5.4,868.9,33.3
Sorgho (Sorghum),6.2,422.4,25.1
Manioc (Cassava),6.07,1345.4,30.8
Manioc (Cassava),6.3,1126.7,28.9
Sésame (Sesame),6.18,650.6,30.6
Riz pluvial (Rainfed Rice),5.95,613.5,26.9
Gombo (Okra),6.54,611.0,20.3
Riz pluvial (Rainfed Rice),6.42,685.9,26.0
Riz pluvial (Rainfed Rice),5.52,600.0,24.8
Gombo (Okra),5.91,776.1,31.2
Sorgho (Sorghum),6.31,407.9,34.9
Patate douce (Sweet Potato),5.91,1004.4,24.5
Maïs (Maize),6.3,783.8,24.6
